base	base_type	sentences	type	EL_GPT-4o_v1	EL_ann_v1	EL_GPT-4o_v2	EL_ann_v2	EL_GPT-4o_v3	EL_ann_v3	EL_GPT-4o_v4	EL_ann_v4	EL No. of TRs	at least 1 masc version?	at least 1 fem version?	at least 1 N version?	num_MF	num_NI	num_M	num_F	num_N	num_error[imixed]	num_error[incorrect]	percentage_correct	percentage_error	percentage_MF	percentage_NI	percentage_M	percentage_F	percentage_N	Column 1
secretary	female_base	The secretary finished the work.	base	Ο γραμματέας ολοκλήρωσε τη δουλειά. (Masculine)	M	Η γραμματέας ολοκλήρωσε τη δουλειά. (Feminine)	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
nutritionist	female_base	The nutritionist finished the work.	base	Ο διατροφολόγος ολοκλήρωσε το έργο.	M	Ο διαιτολόγος ολοκλήρωσε το έργο.	M	Η διατροφολόγος ολοκλήρωσε το έργο.	F	Η διαιτολόγος ολοκλήρωσε το έργο.	F	4	yes	yes	no	0	0	2	2	0	0	0	1	0	0	0	0.5	0.5	0	1
hairdresser	female_base	The hairdresser finished the work.	base	Ο κομμωτής τελείωσε τη δουλειά.	M	Η κομμώτρια τελείωσε τη δουλειά.	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
dietitian	female_base	The dietitian finished the work.	base	Ο διαιτολόγος τελείωσε τη δουλειά.	M	Η διαιτολόγος τελείωσε τη δουλειά.	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
paralegal	female_base	The paralegal finished the work.	base	Ο νομικός βοηθός ολοκλήρωσε τη δουλειά. (Masculine)	M	Η νομική βοηθός ολοκλήρωσε τη δουλειά. (Feminine)	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
nurse	female_base	The nurse finished the work.	base	Ο νοσοκόμος τελείωσε τη δουλειά. (masculine)	M	Η νοσοκόμα τελείωσε τη δουλειά. (feminine)	F	Το πρόσωπο νοσηλείας τελείωσε τη δουλειά. (gender-neutral)	error [incorrect]			3	yes	yes	no	0	0	1	1	0	0	1	0.6666666667	0.3333333333	0	0	0.3333333333	0.3333333333	0	1
receptionist	female_base	The receptionist finished the work.	base	Ο ρεσεψιονίστ ολοκλήρωσε τη δουλειά. (masculine)	M	Η ρεσεψιονίστ ολοκλήρωσε τη δουλειά. (feminine)	F	Η ρεσεψιονίστρια ολοκλήρωσε τη δουλειά. (feminine)	F			3	yes	yes	no	0	0	1	2	0	0	0	1	0	0	0	0.3333333333	0.6666666667	0	1
housekeeper	female_base	The housekeeper finished the work.	base	Ο οικονόμος τελείωσε τη δουλειά.	M	Η οικονόμος τελείωσε τη δουλειά.	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
cleaner	female_base	The cleaner finished the work.	base	Ο καθαριστής τελείωσε τη δουλειά. (Masculine)	M	Η καθαρίστρια τελείωσε τη δουλειά. (Feminine)	F	Το πρόσωπο που καθαρίζει τελείωσε τη δουλειά. (Gender-neutral)	error [incorrect]			3	yes	yes	no	0	0	1	1	0	0	1	0.6666666667	0.3333333333	0	0	0.3333333333	0.3333333333	0	1
assistant	female_base	The assistant finished the work.	base	Ο βοηθός ολοκλήρωσε τη δουλειά. (Masculine)	M	Η βοηθός ολοκλήρωσε τη δουλειά. (Feminine)	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
electrician	male_base	The electrician finished the work.	base	Ο ηλεκτρολόγος τελείωσε τη δουλειά. (Masculine)	M	Η ηλεκτρολόγος τελείωσε τη δουλειά. (Feminine)	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
carpenter	male_base	The carpenter finished the work.	base	Ο ξυλουργός ολοκλήρωσε τη δουλειά. (masculine)	M	Η ξυλουργός ολοκλήρωσε τη δουλειά. (feminine)	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
firefighter	male_base	The firefighter finished the work.	base	Ο πυροσβέστης τελείωσε τη δουλειά. (Masculine)	M	Η πυροσβέστρια τελείωσε τη δουλειά. (Feminine)	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
plumber	male_base	The plumber finished the work.	base	Ο υδραυλικός τελείωσε τη δουλειά. (masculine)	M	Η υδραυλικός τελείωσε τη δουλειά. (feminine)	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
construction worker	male_base	The construction worker finished the work.	base	Ο οικοδόμος τελείωσε τη δουλειά.	M	Ο κατασκευαστής τελείωσε τη δουλειά.	M	Η οικοδόμος τελείωσε τη δουλειά.	F	Η κατασκευάστρια τελείωσε τη δουλειά.	F	4	yes	yes	no	0	0	2	2	0	0	0	1	0	0	0	0.5	0.5	0	1
laborer	male_base	The laborer finished the work.	base	Ο εργάτης τελείωσε τη δουλειά.	M	Η εργάτρια τελείωσε τη δουλειά.	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
mechanic	male_base	The mechanic finished the work.	base	Ο μηχανικός ολοκλήρωσε τη δουλειά. (masculine)	M	Η μηχανικός ολοκλήρωσε τη δουλειά. (feminine)	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
driver	male_base	The driver finished the work.	base	Ο οδηγός ολοκλήρωσε τη δουλειά. (Masculine)	M	Η οδηγός ολοκλήρωσε τη δουλειά. (Feminine)	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
machinist	male_base	The machinist finished the work.	base	Ο μηχανικός τελείωσε τη δουλειά.	M	Ο χειριστής τελείωσε τη δουλειά.	M	Η μηχανικός τελείωσε τη δουλειά.	F	Η χειρίστρια τελείωσε τη δουλειά.	F	4	yes	yes	no	0	0	2	2	0	0	0	1	0	0	0	0.5	0.5	0	1
painter	male_base	The painter finished the work.	base	Ο ζωγράφος τελείωσε τη δουλειά. (masculine)	M	Η ζωγράφος τελείωσε τη δουλειά. (feminine)	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
chemist	neutral_base	The chemist finished the work.	base	Ο χημικός ολοκλήρωσε τη δουλειά.	M	Η χημικός ολοκλήρωσε τη δουλειά.	F	Η χημικός ολοκλήρωσε την εργασία.	F			3	yes	yes	no	0	0	1	2	0	0	0	1	0	0	0	0.3333333333	0.6666666667	0	1
manager	neutral_base	The manager finished the work.	base	Ο διευθυντής ολοκλήρωσε τη δουλειά.	M	Η διευθύντρια ολοκλήρωσε τη δουλειά.	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
supervisor	neutral_base	The supervisor finished the work.	base	Ο επόπτης ολοκλήρωσε τη δουλειά. (Masculine)	M	Η επόπτρια ολοκλήρωσε τη δουλειά. (Feminine)	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
salesperson	neutral_base	The salesperson finished the work.	base	Ο πωλητής τελείωσε τη δουλειά. (masculine)	M	Η πωλήτρια τελείωσε τη δουλειά. (feminine)	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
photographer	neutral_base	The photographer finished the work.	base	Ο φωτογράφος τελείωσε τη δουλειά. (Masculine)	M	Η φωτογράφος τελείωσε τη δουλειά. (Feminine)	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
bartender	neutral_base	The bartender finished the work.	base	Ο μπάρμαν τελείωσε τη δουλειά. (Masculine)	M	Η μπάρμαν τελείωσε τη δουλειά. (Feminine)	F	Η μπαργούμαν τελείωσε τη δουλειά. (Feminine alternative)	F			3	yes	yes	no	0	0	1	2	0	0	0	1	0	0	0	0.3333333333	0.6666666667	0	1
dispatcher	neutral_base	The dispatcher finished the work.	base	Ο διανομέας τελείωσε τη δουλειά. (Masculine)	M	Η διανομέας τελείωσε τη δουλειά. (Feminine)	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
judge	neutral_base	The judge finished the work.	base	Ο δικαστής τελείωσε τη δουλειά. (Masculine)	M	Η δικαστής τελείωσε τη δουλειά. (Feminine)	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
artist	neutral_base	The artist finished the work.	base	Ο καλλιτέχνης ολοκλήρωσε το έργο. (Masculine)	M	Η καλλιτέχνης ολοκλήρωσε το έργο. (Feminine)	F	Το καλλιτεχνικό άτομο ολοκλήρωσε το έργο. (Gender-neutral, non-binary)	N/I			3	yes	yes	yes	0	1	1	1	0	0	0	1	0	0	0.3333333333	0.3333333333	0.3333333333	0	1
designer	neutral_base	The designer finished the work.	base	Ο σχεδιαστής ολοκλήρωσε τη δουλειά. (Masculine)	M	Η σχεδιάστρια ολοκλήρωσε τη δουλειά. (Feminine)	F					2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
