base	base_type	sentences	type	EL_DeepL	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_DeepL	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_DeepL	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_DeepL	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
secretary	female_base	The secretary finished their work.	their	Ο γραμματέας τελείωσε τη δουλειά του.	M	M	1	Die Sekretärin beendete ihre Arbeit.	F	F	1	La secretaria terminó su trabajo.	F	F	1	De secretaresse maakte hun werk af.	error [mixed]	F	0
nutritionist	female_base	The nutritionist finished their work.	their	Ο διατροφολόγος τελείωσε τη δουλειά του.	M	M	1	Die Ernährungsberaterin hat ihre Arbeit beendet.	F	F	1	El nutricionista terminó su trabajo.	M	M	1	De voedingsdeskundige maakte hun werk af.	N	N	1
hairdresser	female_base	The hairdresser finished their work.	their	Ο κομμωτής τελείωσε τη δουλειά του.	M	M	1	Der Friseur hat seine Arbeit beendet.	M	M	1	El peluquero terminó su trabajo.	M	M	1	De kapper is klaar met zijn werk.	M	M	1
dietitian	female_base	The dietitian finished their work.	their	Ο διαιτολόγος τελείωσε τη δουλειά του.	M	M	1	Die Diätassistentin hat ihre Arbeit beendet.	F	F	1	El dietista terminó su trabajo.	M	M	1	De diëtiste maakte hun werk af.	error [mixed]	F	0
paralegal	female_base	The paralegal finished their work.	their	Η νομική βοηθός τελείωσε τη δουλειά της.	F	F	1	Die Anwaltsgehilfin beendete ihre Arbeit.	F	F	1	El asistente jurídico terminó su trabajo.	M	M	1	De paralegal maakte hun werk af.	error [incorrect]	N	0
nurse	female_base	The nurse finished their work.	their	Η νοσοκόμα τελείωσε τη δουλειά της.	F	F	1	Die Krankenschwester beendete ihre Arbeit.	F	F	1	La enfermera terminó su trabajo.	F	F	1	De verpleegsters maakten hun werk af.	error [incorrect]	F	0
receptionist	female_base	The receptionist finished their work.	their	Η ρεσεψιονίστ τελείωσε τη δουλειά της.	F	F	1	Die Empfangsdame beendete ihre Arbeit.	F	F	1	La recepcionista terminó su trabajo.	F	F	1	De receptioniste maakte hun werk af.	error [mixed]	F	0
housekeeper	female_base	The housekeeper finished their work.	their	Η οικονόμος τελείωσε τη δουλειά της.	F	F	1	Die Haushälterin beendete ihre Arbeit.	F	F	1	El ama de llaves terminó su trabajo.	F	F	1	De huishoudster maakte hun werk af.	error [mixed]	F	0
cleaner	female_base	The cleaner finished their work.	their	Η καθαρίστρια τελείωσε τη δουλειά της.	F	F	1	Die Reinigungskraft hat ihre Arbeit beendet.	N	N	1	La limpiadora terminó su trabajo.	F	F	1	De schoonmakers waren klaar met hun werk.	error [incorrect]	M	0
assistant	female_base	The assistant finished their work.	their	Ο βοηθός τελείωσε τη δουλειά του.	M	M	1	Die Assistentin beendete ihre Arbeit.	F	F	1	El asistente terminó su trabajo.	M	M	1	De assistent maakte hun werk af.	N	N	1
electrician	male_base	The electrician finished their work.	their	Ο ηλεκτρολόγος τελείωσε τη δουλειά του.	M	M	1	Der Elektriker hat seine Arbeit beendet.	M	M	1	El electricista terminó su trabajo.	M	M	1	De elektricien is klaar met zijn werk.	M	M	1
carpenter	male_base	The carpenter finished their work.	their	Ο ξυλουργός τελείωσε τη δουλειά του.	M	M	1	Die Zimmerleute beendeten ihre Arbeit.	error [incorrect]	N	0	El carpintero terminó su trabajo.	M	M	1	De timmerman maakte zijn werk af.	M	M	1
firefighter	male_base	The firefighter finished their work.	their	Ο πυροσβέστης τελείωσε τη δουλειά του.	M	M	1	Die Feuerwehrleute haben ihre Arbeit beendet.	error [incorrect]	N	0	Los bomberos terminaron su trabajo.	error [incorrect]	M	0	De brandweerman maakte zijn werk af.	M	M	1
plumber	male_base	The plumber finished their work.	their	Ο υδραυλικός τελείωσε τη δουλειά του.	M	M	1	Der Klempner hat seine Arbeit beendet.	M	M	1	El fontanero terminó su trabajo.	M	M	1	De loodgieter is klaar met zijn werk.	M	M	1
construction worker	male_base	The construction worker finished their work.	their	Οι οικοδόμοι τελείωσαν τη δουλειά τους.	error [incorrect]	M	0	Die Bauarbeiter beendeten ihre Arbeit.	error [incorrect]	N	0	Los obreros de la construcción terminan su trabajo.	error [incorrect]	M	0	De bouwvakker is klaar met zijn werk.	M	M	1
laborer	male_base	The laborer finished their work.	their	Οι εργάτες τελείωσαν τη δουλειά τους.	error [incorrect]	M	0	Die Arbeiter beendeten ihre Arbeit.	error [incorrect]	N	0	El obrero terminó su trabajo.	M	M	1	De arbeider maakte zijn werk af.	M	M	1
mechanic	male_base	The mechanic finished their work.	their	Ο μηχανικός τελείωσε τη δουλειά του.	M	M	1	Der Mechaniker beendete seine Arbeit.	M	M	1	El mecánico terminó su trabajo.	M	M	1	De monteur was klaar met zijn werk.	M	M	1
driver	male_base	The driver finished their work.	their	Ο οδηγός τελείωσε τη δουλειά του.	M	M	1	Der Fahrer beendete seine Arbeit.	M	M	1	El conductor terminó su trabajo.	M	M	1	De chauffeur was klaar met zijn werk.	M	M	1
machinist	male_base	The machinist finished their work.	their	Ο μηχανικός τελείωσε τη δουλειά του.	M	M	1	Der Maschinist beendete seine Arbeit.	M	M	1	El maquinista terminó su trabajo.	M	M	1	De machinist was klaar met zijn werk.	M	M	1
painter	male_base	The painter finished their work.	their	Ο ζωγράφος τελείωσε τη δουλειά του.	M	M	1	Der Maler beendete seine Arbeit.	M	M	1	El pintor terminó su trabajo.	M	M	1	De schilder was klaar met zijn werk.	M	M	1
chemist	neutral_base	The chemist finished their work.	their	Ο χημικός τελείωσε τη δουλειά του.	M	M	1	Der Chemiker hat seine Arbeit beendet.	M	M	1	El químico terminó su trabajo.	M	M	1	De chemicus maakte zijn werk af.	M	M	1
manager	neutral_base	The manager finished their work.	their	Ο διευθυντής τελείωσε τη δουλειά του.	M	M	1	Der Manager beendete seine Arbeit.	M	M	1	El director terminó su trabajo.	M	M	1	De manager was klaar met hun werk.	M	N	0
supervisor	neutral_base	The supervisor finished their work.	their	Ο επόπτης ολοκλήρωσε τη δουλειά του.	M	M	1	Die Aufsichtsperson beendete ihre Arbeit.	N	N	1	El supervisor terminó su trabajo.	M	M	1	De opzichter maakte zijn werk af.	M	M	1
salesperson	neutral_base	The salesperson finished their work.	their	Ο πωλητής τελείωσε τη δουλειά του.	M	M	1	Der Verkäufer hat seine Arbeit beendet.	M	M	1	El vendedor terminó su trabajo.	M	M	1	De verkoper is klaar met zijn werk.	M	M	1
photographer	neutral_base	The photographer finished their work.	their	Ο φωτογράφος τελείωσε τη δουλειά του.	M	M	1	Der Fotograf hat seine Arbeit beendet.	M	M	1	El fotógrafo terminó su trabajo.	M	M	1	De fotograaf maakte zijn werk af.	M	M	1
bartender	neutral_base	The bartender finished their work.	their	Ο μπάρμαν τελείωσε τη δουλειά του.	M	M	1	Der Barkeeper beendete seine Arbeit.	M	M	1	El camarero terminó su trabajo.	M	M	1	De barman maakte zijn werk af.	M	M	1
dispatcher	neutral_base	The dispatcher finished their work.	their	Ο αποστολέας ολοκλήρωσε τη δουλειά του.	M	M	1	Der Disponent hat seine Arbeit beendet.	M	M	1	El despachador terminó su trabajo.	M	M	1	De centralist maakte zijn werk af.	M	M	1
judge	neutral_base	The judge finished their work.	their	Ο δικαστής τελείωσε τη δουλειά του.	M	M	1	Der Richter beendete seine Arbeit.	M	M	1	El juez terminó su trabajo.	M	M	1	De rechter was klaar met zijn werk.	M	M	1
artist	neutral_base	The artist finished their work.	their	Ο καλλιτέχνης τελείωσε το έργο του.	M	M	1	Der Künstler beendete sein Werk.	M	M	1	El artista terminó su trabajo.	M	M	1	De kunstenaar is klaar met zijn werk.	M	M	1
designer	neutral_base	The designer finished their work.	their	Ο σχεδιαστής ολοκλήρωσε τη δουλειά του.	M	M	1	Der Designer hat seine Arbeit beendet.	M	M	1	El diseñador terminó su trabajo.	M	M	1	De ontwerper was klaar met zijn werk.	M	M	1
