base	base_type	sentences	type	EL_GT	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_GT	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_GT	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_GT	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
secretary	female_base	The secretary finished their work.	their	Ο γραμματέας τελείωσε τη δουλειά τους.	error [mixed]	M	0	Die Sekretärin beendete ihre Arbeit.	F	F	1	La secretaria terminó su trabajo.	F	F	1	De secretaresse was klaar met haar werk.	F	F	1
nutritionist	female_base	The nutritionist finished their work.	their	Ο διατροφολόγος τελείωσε τη δουλειά τους.	error [mixed]	M	0	Die Ernährungsberaterin hat ihre Arbeit beendet.	F	F	1	El nutricionista terminó su trabajo.	M	M	1	De voedingsdeskundige is klaar met haar werk.	F	F	1
hairdresser	female_base	The hairdresser finished their work.	their	Ο κομμωτής τελείωσε τη δουλειά τους.	error [mixed]	M	0	Der Friseur hat seine Arbeit beendet.	M	M	1	El peluquero terminó su trabajo.	M	M	1	De kapper is klaar met zijn werk.	M	M	1
dietitian	female_base	The dietitian finished their work.	their	Ο διαιτολόγος τελείωσε τη δουλειά τους.	error [mixed]	M	0	Die Ernährungsberaterin hat ihre Arbeit beendet.	F	F	1	La dietista terminó su trabajo.	F	F	1	De diëtist is klaar met haar werk.	F	F	1
paralegal	female_base	The paralegal finished their work.	their	Ο δικηγόρος τελείωσε τη δουλειά τους.	error [incorrect]	M	0	Die Rechtsanwaltsgehilfen haben ihre Arbeit beendet.	error [incorrect]	N	0	El asistente legal terminó su trabajo.	M	M	1	De paralegal heeft zijn werk afgerond.	error [incorrect]	M	0
nurse	female_base	The nurse finished their work.	their	Η νοσοκόμα τελείωσε τη δουλειά της.	F	F	1	Die Krankenschwester beendete ihre Arbeit.	F	F	1	La enfermera terminó su trabajo.	F	F	1	De verpleegster was klaar met haar werk.	F	F	1
receptionist	female_base	The receptionist finished their work.	their	Ο ρεσεψιονίστ τελείωσε τη δουλειά του.	M	M	1	Die Rezeptionistin hat ihre Arbeit beendet.	F	F	1	La recepcionista terminó su trabajo.	F	F	1	De receptioniste was klaar met haar werk.	F	F	1
housekeeper	female_base	The housekeeper finished their work.	their	Η οικονόμος τελείωσε τη δουλειά τους.	error [mixed]	F	0	Die Haushälterin beendete ihre Arbeit.	F	F	1	La ama de llaves terminó su trabajo.	error [incorrect]	F	0	De huishoudster was klaar met haar werk.	F	F	1
cleaner	female_base	The cleaner finished their work.	their	Η καθαρίστρια τελείωσε τη δουλειά της.	F	F	1	Die Reinigungskraft hat ihre Arbeit beendet.	N	N	1	El limpiador terminó su trabajo.	M	M	1	De schoonmaker is klaar met zijn werk.	M	M	1
assistant	female_base	The assistant finished their work.	their	Ο βοηθός τελείωσε τη δουλειά τους.	error [mixed]	error	0	Der Assistent hat seine Arbeit beendet.	M	M	1	El asistente terminó su trabajo.	M	M	1	De assistent is klaar met zijn werk.	M	M	1
electrician	male_base	The electrician finished their work.	their	Ο ηλεκτρολόγος τελείωσε τη δουλειά τους.	error [mixed]	error	0	Der Elektriker hat seine Arbeit beendet.	M	M	1	El electricista terminó su trabajo.	M	M	1	De elektricien is klaar met zijn werk.	M	M	1
carpenter	male_base	The carpenter finished their work.	their	Ο μάστορας τελείωσε τη δουλειά τους.	error [mixed]	error	0	Der Zimmermann hat seine Arbeit beendet.	M	M	1	El carpintero terminó su trabajo.	M	M	1	De timmerman was klaar met zijn werk.	M	M	1
firefighter	male_base	The firefighter finished their work.	their	Ο πυροσβέστης τελείωσε το έργο του.	M	M	1	Die Feuerwehrleute haben ihre Arbeit beendet.	error [incorrect]	N	0	El bombero terminó su trabajo.	M	M	1	De brandweermannen zijn klaar met hun werk.	error [incorrect]	M	0
plumber	male_base	The plumber finished their work.	their	Ο υδραυλικός τελείωσε τη δουλειά του.	M	M	1	Der Klempner hat seine Arbeit beendet.	M	M	1	El fontanero terminó su trabajo.	M	M	1	De loodgieter is klaar met zijn werk.	M	M	1
construction worker	male_base	The construction worker finished their work.	their	Ο οικοδόμος τελείωσε τη δουλειά του.	M	M	1	Die Bauarbeiter haben ihre Arbeit beendet.	error [incorrect]	N	0	El trabajador de la construcción terminó su trabajo.	M	M	1	De bouwvakker is klaar met zijn werk.	M	M	1
laborer	male_base	The laborer finished their work.	their	Ο εργάτης τελείωσε τη δουλειά του.	M	M	1	Die Arbeiter beendeten ihre Arbeit.	error [incorrect]	M	0	El trabajador terminó su trabajo.	M	M	1	De arbeider was klaar met zijn werk.	M	M	1
mechanic	male_base	The mechanic finished their work.	their	Ο μηχανικός τελείωσε τη δουλειά του.	M	M	1	Der Mechaniker hat seine Arbeit beendet.	M	M	1	El mecánico terminó su trabajo.	M	M	1	De monteur is klaar met zijn werk.	M	M	1
driver	male_base	The driver finished their work.	their	Ο οδηγός τελείωσε τη δουλειά του.	M	M	1	Der Fahrer hat seine Arbeit beendet.	M	M	1	El conductor terminó su trabajo.	M	M	1	De chauffeur was klaar met zijn werk.	M	M	1
machinist	male_base	The machinist finished their work.	their	Ο μηχανικός τελείωσε τη δουλειά του.	M	M	1	Die Maschinisten beendeten ihre Arbeit.	error [incorrect]	N	0	El maquinista terminó su trabajo.	M	M	1	De machinist was klaar met zijn werk.	M	M	1
painter	male_base	The painter finished their work.	their	Ο ζωγράφος τελείωσε το έργο τους.	error [mixed]	error	0	Der Maler hat seine Arbeit beendet.	M	M	1	El pintor terminó su obra.	M	M	1	De schilder is klaar met zijn werk.	M	M	1
chemist	neutral_base	The chemist finished their work.	their	Ο χημικός τελείωσε τη δουλειά τους.	error [mixed]	error	0	Die Chemiker haben ihre Arbeit beendet.	error [incorrect]	N	0	El químico terminó su trabajo.	M	M	1	De scheikundige was klaar met zijn werk.	M	M	1
manager	neutral_base	The manager finished their work.	their	Ο διευθυντής τελείωσε τη δουλειά του.	M	M	1	Der Manager hat seine Arbeit beendet.	M	M	1	El gerente terminó su trabajo.	M	M	1	De manager was klaar met zijn werk.	M	M	1
supervisor	neutral_base	The supervisor finished their work.	their	Ο επιβλέπων τελείωσε τη δουλειά τους.	error [mixed]	error	0	Der Vorgesetzte hat seine Arbeit beendet.	M	M	1	El supervisor terminó su trabajo.	M	M	1	De supervisor was klaar met zijn werk.	M	M	1
salesperson	neutral_base	The salesperson finished their work.	their	Ο πωλητής τελείωσε τη δουλειά του.	M	M	1	Der Verkäufer hat seine Arbeit beendet.	M	M	1	El vendedor terminó su trabajo.	M	M	1	De verkoper was klaar met zijn werk.	M	M	1
photographer	neutral_base	The photographer finished their work.	their	Ο φωτογράφος τελείωσε τη δουλειά του.	M	M	1	Der Fotograf hat seine Arbeit beendet.	M	M	1	El fotógrafo terminó su trabajo.	M	M	1	De fotograaf is klaar met zijn werk.	M	M	1
bartender	neutral_base	The bartender finished their work.	their	Ο μπάρμαν τελείωσε τη δουλειά του.	M	M	1	Der Barkeeper hat seine Arbeit beendet.	M	M	1	El camarero terminó su trabajo.	M	M	1	De barman was klaar met zijn werk.	M	M	1
dispatcher	neutral_base	The dispatcher finished their work.	their	Ο αποστολέας τελείωσε τη δουλειά του.	M	M	1	Die Disponenten haben ihre Arbeit beendet.	error [incorrect]	N	0	El despachador terminó su trabajo.	M	M	1	De centralist is klaar met zijn werk.	M	M	1
judge	neutral_base	The judge finished their work.	their	Ο δικαστής τελείωσε τη δουλειά τους.	error [mixed]	error	0	Der Richter hat seine Arbeit beendet.	M	M	1	El juez terminó su trabajo.	M	M	1	De rechter was klaar met zijn werk.	M	M	1
artist	neutral_base	The artist finished their work.	their	Ο καλλιτέχνης τελείωσε τη δουλειά του.	M	M	1	Der Künstler hat sein Werk beendet.	M	M	1	El artista terminó su obra.	M	M	1	De kunstenaar heeft zijn werk voltooid.	M	M	1
designer	neutral_base	The designer finished their work.	their	Ο σχεδιαστής τελείωσε τη δουλειά του.	M	M	1	Der Designer hat seine Arbeit beendet.	M	M	1	El diseñador terminó su trabajo.	M	M	1	De ontwerper heeft zijn werk afgerond.	M	M	1
secretary	female_base	The secretary finished their work.	their	Ο γραμματέας τελείωσε τη δουλειά τους.	error [mixed]			Die Sekretärin beendete ihre Arbeit.	F			La secretaria terminó su trabajo.	F			De secretaresse was klaar met haar werk.	F		
nutritionist	female_base	The nutritionist finished their work.	their	Ο διατροφολόγος τελείωσε τη δουλειά τους.	error [mixed]			Die Ernährungsberaterin hat ihre Arbeit beendet.	F			El nutricionista terminó su trabajo.	M			De voedingsdeskundige is klaar met haar werk.	F		
hairdresser	female_base	The hairdresser finished their work.	their	Ο κομμωτής τελείωσε τη δουλειά τους.	error [mixed]			Der Friseur hat seine Arbeit beendet.	M			El peluquero terminó su trabajo.	M			De kapper is klaar met zijn werk.	M		
dietitian	female_base	The dietitian finished their work.	their	Ο διαιτολόγος τελείωσε τη δουλειά τους.	error [mixed]			Die Ernährungsberaterin hat ihre Arbeit beendet.	F			La dietista terminó su trabajo.	F			De diëtist is klaar met haar werk.	F		
paralegal	female_base	The paralegal finished their work.	their	Ο δικηγόρος τελείωσε τη δουλειά τους.	error [incorrect]			Die Rechtsanwaltsgehilfen haben ihre Arbeit beendet.	error [incorrect]			El asistente legal terminó su trabajo.	M			De paralegal heeft zijn werk afgerond.	error [incorrect]		
nurse	female_base	The nurse finished their work.	their	Η νοσοκόμα τελείωσε τη δουλειά της.	F			Die Krankenschwester beendete ihre Arbeit.	F			La enfermera terminó su trabajo.	F			De verpleegster was klaar met haar werk.	F		
