base	base_type	sentences	type	NL_GPT-4o_v1	NL_ann_v1	NL_GPT-4o_v2	NL_ann_v2	NL_GPT-4o_v3	NL_ann_v3	NL_GPT-4o_v4	NL_ann_v4	NL_GPT-4o_v5	NL_ann_v5	NL_GPT-4o_v6	NL_ann_v6	NL_GPT-4o_v7	NL_ann_v7	NL No. of TRs	at least 1 masc version?	at least 1 fem version?	at least 1 N version?	num_MF	num_NI	num_M	num_F	num_N	num_error[imixed]	num_error[incorrect]	percentage_correct	percentage_error	percentage_MF	percentage_NI	percentage_M	percentage_F	percentage_N	Column 1
secretary	female_base	The secretary finished the work.	base	De secretaris heeft het werk afgemaakt. (gender-neutral or masculine)	N	De secretaresse heeft het werk afgemaakt. (feminine)	F											2	no	yes	yes	0	0	0	1	1	0	0	1	0	0	0	0	0.5	0.5	1
nutritionist	female_base	The nutritionist finished the work.	base	De voedingsdeskundige heeft het werk afgemaakt.	N	De diëtist heeft het werk afgemaakt.	N	De diëtiste heeft het werk afgemaakt.	F									3	no	yes	yes	0	0	0	1	2	0	0	1	0	0	0	0	0.3333333333	0.6666666667	1
hairdresser	female_base	The hairdresser finished the work.	base	De kapper maakte het werk af. (masculine)	N	De kapster maakte het werk af. (feminine)	F											2	no	yes	yes	0	0	0	1	1	0	0	1	0	0	0	0	0.5	0.5	1
dietitian	female_base	The dietitian finished the work.	base	De diëtist heeft het werk voltooid.	N	De diëtiste heeft het werk voltooid.	F											2	no	yes	yes	0	0	0	1	1	0	0	1	0	0	0	0	0.5	0.5	1
paralegal	female_base	The paralegal finished the work.	base	De juridisch medewerker heeft het werk afgerond.	N	De juridisch medewerkster heeft het werk afgerond.	F											2	no	yes	yes	0	0	0	1	1	0	0	1	0	0	0	0	0.5	0.5	1
nurse	female_base	The nurse finished the work.	base	De verpleegkundige maakte het werk af.	N	De verpleger maakte het werk af. (This version specifies a male nurse.)	N	De verpleegster maakte het werk af. (This version specifies a female nurse.)	F									3	no	yes	yes	0	0	0	1	2	0	0	1	0	0	0	0	0.3333333333	0.6666666667	1
receptionist	female_base	The receptionist finished the work.	base	De receptionist heeft het werk afgemaakt. (Masculine)	N	De receptioniste heeft het werk afgemaakt. (Feminine)	F											2	no	yes	yes	0	0	0	1	1	0	0	1	0	0	0	0	0.5	0.5	1
housekeeper	female_base	The housekeeper finished the work.	base	De huismeester heeft het werk afgemaakt. (Gender-neutral or male)	N	De huishoudster heeft het werk afgemaakt. (Female)	F	De huisbewaarder heeft het werk afgemaakt. (Another alternative, gender-neutral or male)	N									3	no	yes	yes	0	0	0	1	2	0	0	1	0	0	0	0	0.3333333333	0.6666666667	1
cleaner	female_base	The cleaner finished the work.	base	De schoonmaker heeft het werk afgemaakt. (gender-neutral or male cleaner)	N	De schoonmaakster heeft het werk afgemaakt. (female cleaner)	F											2	no	yes	yes	0	0	0	1	1	0	0	1	0	0	0	0	0.5	0.5	1
assistant	female_base	The assistant finished the work.	base	De assistent maakte het werk af.	N	De assistent voltooide het werk.	N	De assistente maakte het werk af.	F	De assistente voltooide het werk.	F							4	no	yes	yes	0	0	0	2	2	0	0	1	0	0	0	0	0.5	0.5	1
