base	base_type	sentences	type	DE_GPT-4o_v1	DE_GPT-4o_v2	DE_GPT-4o_v3	DE_GPT-4o_v4	DE_GPT-4o_v5	DE_GPT-4o_v6	DE_GPT-4o_v7	DE_GPT-4o_v8
secretary	female_base	The secretary finished the work.	base	Der Sekretär hat die Arbeit beendet.	Die Sekretärin hat die Arbeit beendet.						
nutritionist	female_base	The nutritionist finished the work.	base	Der Ernährungsberater hat die Arbeit beendet.	Die Ernährungsberaterin hat die Arbeit beendet.	Die Ernährungsfachkraft hat die Arbeit beendet.					
hairdresser	female_base	The hairdresser finished the work.	base	Der Friseur hat die Arbeit beendet.	Die Friseurin hat die Arbeit beendet.	Die Frisör*in hat die Arbeit beendet.	Der/Die Frisör(in) hat die Arbeit beendet.				
dietitian	female_base	The dietitian finished the work.	base	Der Diätassistent hat die Arbeit beendet.	Die Diätassistentin hat die Arbeit beendet.	Die Diätassistenz hat die Arbeit beendet.	Der*die Diätassistent*in hat die Arbeit beendet.				
paralegal	female_base	The paralegal finished the work.	base	Der Paralegal hat die Arbeit abgeschlossen.	Die Paralegal hat die Arbeit abgeschlossen.	Die Paralegalin hat die Arbeit abgeschlossen.	Der/die Paralegal hat die Arbeit abgeschlossen.	Der Paralegal/die Paralegalin hat die Arbeit abgeschlossen.	Die Paralegal*in hat die Arbeit abgeschlossen.		
nurse	female_base	The nurse finished the work.	base	Der Krankenpfleger beendete die Arbeit.	Die Krankenschwester beendete die Arbeit.	Die Pflegekraft beendete die Arbeit.	Der_die Pflegende beendete die Arbeit.	Der/die Pflegende beendete die Arbeit.			
receptionist	female_base	The receptionist finished the work.	base	Die Rezeptionistin hat die Arbeit beendet.	Der Rezeptionist hat die Arbeit beendet.	Die Empfangskraft hat die Arbeit beendet.					
housekeeper	female_base	The housekeeper finished the work.	base	Die Haushälterin hat die Arbeit beendet.	Der Haushälter hat die Arbeit beendet.	Die Haushaltshilfe hat die Arbeit beendet.					
cleaner	female_base	The cleaner finished the work.	base	Der Reinigungskraft hat die Arbeit beendet. (Neutral gender)	Die Reinigungskraft hat die Arbeit beendet.	Der Reiniger hat die Arbeit beendet.	Die Reinigerin hat die Arbeit beendet.				
assistant	female_base	The assistant finished the work.	base	Der Assistent hat die Arbeit beendet.	Die Assistentin hat die Arbeit beendet.	Die Assistenz hat die Arbeit beendet.					
electrician	male_base	The electrician finished the work.	base	Der Elektriker hat die Arbeit beendet.	Die Elektrikerin hat die Arbeit beendet.	Die Elektrofachkraft hat die Arbeit beendet.					
