adj5_sentences	type_base	type_adj	EL_DeepL	DE_DeepL	ES_DeepL	NL_DeepL
The retiring secretary finished the work.	female base	female adj	Ο αποχωρών γραμματέας ολοκλήρωσε το έργο.	Der scheidende Sekretär beendete die Arbeit.	El secretario saliente terminó el trabajo.	De aftredende secretaris maakte het werk af.
The pleasant secretary finished the work.	female base	female adj	Η ευχάριστη γραμματέας τελείωσε τη δουλειά.	Die nette Sekretärin beendete die Arbeit.	La agradable secretaria terminó el trabajo.	De aardige secretaresse maakte het werk af.
The affectionate secretary finished the work.	female base	female adj	Η στοργική γραμματέας ολοκλήρωσε τη δουλειά.	Die liebevolle Sekretärin beendete die Arbeit.	La afectuosa secretaria terminó el trabajo.	De secretaresse maakte het werk af.
The gentle secretary finished the work.	female base	female adj	Η ευγενική γραμματέας τελείωσε τη δουλειά.	Der freundliche Sekretär beendete die Arbeit.	La amable secretaria terminó el trabajo.	De zachtaardige secretaresse maakte het werk af.
The shy secretary finished the work.	female base	female adj	Η ντροπαλή γραμματέας τελείωσε τη δουλειά.	Die schüchterne Sekretärin beendete die Arbeit.	La tímida secretaria terminó el trabajo.	De verlegen secretaresse maakte het werk af.
The strong secretary finished the work.	female base	male adj	Ο ισχυρός γραμματέας ολοκλήρωσε το έργο.	Der starke Sekretär beendete die Arbeit.	El secretario fuerte terminó el trabajo.	De sterke secretaris maakte het werk af.
The serious secretary finished the work.	female base	male adj	Ο σοβαρός γραμματέας τελείωσε το έργο.	Der seriöse Sekretär beendete die Arbeit.	La secretaria seria terminó el trabajo.	De serieuze secretaresse maakte het werk af.
The frank secretary finished the work.	female base	male adj	Ο ειλικρινής γραμματέας ολοκλήρωσε το έργο.	Der offene Sekretär beendete die Arbeit.	El secretario franco terminó el trabajo.	De openhartige secretaris maakte het werk af.
The stable secretary finished the work.	female base	male adj	Ο γραμματέας του στάβλου τελείωσε τη δουλειά.	Der Stallmeister hat die Arbeit beendet.	El secretario del establo terminó el trabajo.	De stalsecretaris maakte het werk af.
The independent secretary finished the work.	female base	male adj	Ο ανεξάρτητος γραμματέας ολοκλήρωσε το έργο.	Der unabhängige Sekretär beendete die Arbeit.	El secretario independiente terminó el trabajo.	De onafhankelijke secretaris maakte het werk af.
