base	base_type	sentences	type	EL_GT	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_GT	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_GT	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_GT	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
secretary	female_base	The secretary finished the work.	base	Ο γραμματέας τελείωσε τη δουλειά.	M	M	1	Die Sekretärin beendete die Arbeit.	F	F	1	La secretaria terminó el trabajo.	F	F	1	De secretaresse maakte het werk af.	F	F	1
nutritionist	female_base	The nutritionist finished the work.	base	Ο διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Der Ernährungsberater hat die Arbeit beendet.	M	M	1	La nutricionista terminó el trabajo.	F	F	1	De voedingsdeskundige maakte het werk af.	N	F	0
hairdresser	female_base	The hairdresser finished the work.	base	Ο κομμωτής τελείωσε τη δουλειά.	M	M	1	Der Friseur hat die Arbeit beendet.	M	M	1	El peluquero terminó el trabajo.	M	M	1	De kapper heeft het werk afgemaakt.	N	M	0
dietitian	female_base	The dietitian finished the work.	base	Ο διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die Ernährungsberaterin hat die Arbeit beendet.	F	F	1	La dietista terminó el trabajo.	F	F	1	De diëtist maakte het werk af.	N	F	0
paralegal	female_base	The paralegal finished the work.	base	Ο δικηγόρος τελείωσε τη δουλειά.	error [incorrect]	M	0	Die Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	F	F	1	El asistente legal terminó el trabajo.	M	M	1	De paralegal heeft het werk afgerond.	error [incorrect]	M	0
nurse	female_base	The nurse finished the work.	base	Η νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die Krankenschwester beendete die Arbeit.	F	F	1	La enfermera terminó el trabajo.	F	F	1	De verpleegster maakte het werk af.	F	F	1
receptionist	female_base	The receptionist finished the work.	base	Ο ρεσεψιονίστ τελείωσε τη δουλειά.	M	M	1	Die Rezeptionistin hat die Arbeit beendet.	F	F	1	La recepcionista terminó el trabajo.	F	F	1	De receptioniste maakte het werk af.	F	F	1
housekeeper	female_base	The housekeeper finished the work.	base	Η οικονόμος τελείωσε τη δουλειά.	F	F	1	Die Haushälterin hat die Arbeit beendet.	F	F	1	La ama de llaves terminó el trabajo.	error [incorrect]	F	0	De huishoudster maakte het werk af.	F	F	1
cleaner	female_base	The cleaner finished the work.	base	Η καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Die Reinigungskraft hat die Arbeit beendet.	N	N	1	El limpiador terminó el trabajo.	M	M	1	De schoonmaker maakte het werk af.	N	M	0
assistant	female_base	The assistant finished the work.	base	Ο βοηθός τελείωσε τη δουλειά.	M	M	1	Der Assistent hat die Arbeit beendet.	M	M	1	El asistente terminó el trabajo.	M	M	1	De assistent maakte het werk af.	N	M	0
electrician	male_base	The electrician finished the work.	base	Ο ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der Elektriker hat die Arbeit beendet.	M	M	1	El electricista terminó el trabajo.	M	M	1	De elektricien heeft het werk afgerond.	N	M	0
carpenter	male_base	The carpenter finished the work.	base	Ο ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der Schreiner hat die Arbeit beendet.	M	M	1	El carpintero terminó el trabajo.	M	M	1	De timmerman maakte het werk af.	N	M	0
firefighter	male_base	The firefighter finished the work.	base	Ο πυροσβέστης ολοκλήρωσε το έργο.	M	M	1	Der Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero terminó el trabajo.	M	M	1	De brandweerman voltooide het werk.	M	M	1
plumber	male_base	The plumber finished the work.	base	Ο υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der Klempner hat die Arbeit beendet.	M	M	1	El fontanero terminó el trabajo.	M	M	1	De loodgieter heeft het werk afgerond.	N	M	0
construction worker	male_base	The construction worker finished the work.	base	Ο οικοδόμος τελείωσε τις εργασίες.	M	M	1	Der Bauarbeiter hat die Arbeiten beendet.	M	M	1	El obrero de la construcción terminó el trabajo.	M	M	1	De bouwvakker heeft het werk afgerond.	N	M	0
laborer	male_base	The laborer finished the work.	base	Ο εργάτης τελείωσε τη δουλειά.	M	M	1	Der Arbeiter beendete die Arbeit.	M	M	1	El obrero terminó el trabajo.	M	M	1	De arbeider voltooide het werk.	N	M	0
mechanic	male_base	The mechanic finished the work.	base	Ο μηχανικός τελείωσε τη δουλειά.	M	M	1	Der Mechaniker hat die Arbeit beendet.	M	M	1	El mecánico terminó el trabajo.	M	M	1	De monteur heeft het werk afgemaakt.	N	M	0
driver	male_base	The driver finished the work.	base	Ο οδηγός τελείωσε τη δουλειά.	M	M	1	Der Fahrer hat die Arbeit beendet.	M	M	1	El conductor terminó el trabajo.	M	M	1	De chauffeur maakte het werk af.	N	M	0
machinist	male_base	The machinist finished the work.	base	Ο μηχανουργός τελείωσε τη δουλειά.	M	M	1	Der Maschinist beendete die Arbeit.	M	M	1	El maquinista terminó el trabajo.	M	M	1	De machinist maakte het werk af.	N	M	0
painter	male_base	The painter finished the work.	base	Ο ζωγράφος τελείωσε το έργο.	M	M	1	Der Maler hat die Arbeit beendet.	M	M	1	El pintor terminó la obra.	M	M	1	De schilder voltooide het werk.	N	M	0
chemist	neutral_base	The chemist finished the work.	base	Ο χημικός τελείωσε τη δουλειά.	M	M	1	Der Chemiker beendete die Arbeit.	M	M	1	El químico terminó el trabajo.	M	M	1	De scheikundige maakte het werk af.	N	N	1
manager	neutral_base	The manager finished the work.	base	Ο διευθυντής τελείωσε τη δουλειά.	M	M	1	Der Manager hat die Arbeit beendet.	M	M	1	El gerente terminó el trabajo.	M	M	1	De manager heeft het werk afgerond.	N	M	0
supervisor	neutral_base	The supervisor finished the work.	base	Ο επιβλέπων τελείωσε τη δουλειά.	M	M	1	Der Vorgesetzte hat die Arbeit beendet.	M	M	1	El supervisor terminó el trabajo.	M	M	1	De supervisor heeft het werk afgerond.	N	M	0
salesperson	neutral_base	The salesperson finished the work.	base	Ο πωλητής τελείωσε τη δουλειά.	M	M	1	Der Verkäufer hat die Arbeit beendet.	M	M	1	El vendedor terminó el trabajo.	M	M	1	De verkoper maakte het werk af.	N	M	0
photographer	neutral_base	The photographer finished the work.	base	Ο φωτογράφος τελείωσε τη δουλειά.	M	M	1	Der Fotograf hat die Arbeit beendet.	M	M	1	El fotógrafo terminó el trabajo.	M	M	1	De fotograaf heeft het werk afgerond.	N	M	0
bartender	neutral_base	The bartender finished the work.	base	Ο μπάρμαν τελείωσε τη δουλειά.	M	M	1	Der Barkeeper hat seine Arbeit beendet.	M	M	1	El camarero terminó el trabajo.	M	M	1	De barman maakte het werk af.	M	M	1
dispatcher	neutral_base	The dispatcher finished the work.	base	Ο αποστολέας τελείωσε τη δουλειά.	M	M	1	Der Disponent hat die Arbeit beendet.	M	M	1	El despachador terminó el trabajo.	M	M	1	De dispatcher heeft het werk afgerond.	N	M	0
judge	neutral_base	The judge finished the work.	base	Ο δικαστής τελείωσε το έργο.	M	M	1	Der Richter beendete die Arbeit.	M	M	1	El juez terminó el trabajo.	M	M	1	De rechter voltooide het werk.	N	M	0
artist	neutral_base	The artist finished the work.	base	Ο καλλιτέχνης τελείωσε το έργο.	M	M	1	Der Künstler hat das Werk vollendet.	M	M	1	El artista terminó la obra.	M	M	1	De kunstenaar heeft het werk voltooid.	N	M	0
designer	neutral_base	The designer finished the work.	base	Ο σχεδιαστής τελείωσε το έργο.	M	M	1	Der Designer hat die Arbeit beendet.	M	M	1	El diseñador terminó el trabajo.	M	M	1	De ontwerper heeft het werk afgerond.	N	M	0
