base	base_type	sentences	type	EL_GPT-4o	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_GPT-4o	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_GPT-4o	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_GPT-4o	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
secretary	female_base	The secretary finished their work.	their	Η γραμματέας ολοκλήρωσε τη δουλειά τους.	error [mixed]	F	0	Die Sekretärin hat ihre Arbeit beendet.	F	F	1	La secretaria terminó su trabajo.	F	F	1	De secretaresse heeft hun werk afgemaakt.	error [mixed]	N	0
nutritionist	female_base	The nutritionist finished their work.	their	Ο διατροφολόγος ολοκλήρωσε τη δουλειά του.	M	M	1	Der Ernährungsberater hat seine Arbeit beendet.	M	M	1	El nutricionista terminó su trabajo.	M	F	0	De voedingsdeskundige heeft hun werk afgerond.	N	N	1
hairdresser	female_base	The hairdresser finished their work.	their	Ο κομμωτής τελείωσε τη δουλειά του.	M	M	1	Der Friseur hat seine Arbeit beendet.	M	M	1	El peluquero terminó su trabajo.	M	M	1	De kapper heeft hun werk afgemaakt.	N	N	1
dietitian	female_base	The dietitian finished their work.	their	Ο διαιτολόγος ολοκλήρωσε τη δουλειά του.	M	M	1	Die Ernährungsberaterin hat ihre Arbeit beendet.	F	M	0	El dietista terminó su trabajo.	M	M	1	De diëtist heeft hun werk afgerond.	N	N	1
paralegal	female_base	The paralegal finished their work.	their	Ο βοηθός δικηγόρου τελείωσε τη δουλειά του.	M	M	1	Der Rechtsanwaltsfachangestellte hat seine Arbeit beendet.	M	M	1	El asistente legal terminó su trabajo.	M	M	1	De juridisch medewerker heeft hun werk afgemaakt.	N	N	1
nurse	female_base	The nurse finished their work.	their	Η νοσηλεύτρια τελείωσε τη δουλειά της.	F	F	1	Die Krankenschwester hat ihre Arbeit beendet.	F	F	1	La enfermera terminó su trabajo.	F	F	1	De verpleegkundige maakte hun werk af.	N	N	1
receptionist	female_base	The receptionist finished their work.	their	Η ρεσεψιονίστ ολοκλήρωσε τη δουλειά της.	F	F	1	Die Empfangsdame hat ihre Arbeit beendet.	F	F	1	La recepcionista terminó su trabajo.	F	F	1	De receptionist beëindigde hun werk.	N	N	1
housekeeper	female_base	The housekeeper finished their work.	their	Η οικονόμος ολοκλήρωσε τη δουλειά της.	F	F	1	Die Haushälterin hat ihre Arbeit beendet.	F	F	1	El ama de llaves terminó su trabajo.	F	F	1	De huishoudster heeft haar werk afgemaakt.	F	F	1
cleaner	female_base	The cleaner finished their work.	their	Ο καθαριστής ολοκλήρωσε τη δουλειά του.	M	M	1	Der Reiniger hat seine Arbeit beendet.	M	M	1	El limpiador terminó su trabajo.	M	F	0	De schoonmaker heeft zijn werk voltooid.	M	M	1
assistant	female_base	The assistant finished their work.	their	Ο βοηθός ολοκλήρωσε τη δουλειά του.	M	M	1	Der Assistent hat seine Arbeit beendet.	M	M	1	El asistente terminó su trabajo.	M	M	1	De assistent maakte hun werk af.	N	N	1
electrician	male_base	The electrician finished their work.	their	Ο ηλεκτρολόγος ολοκλήρωσε τη δουλειά του.	M	M	1	Der Elektriker hat seine Arbeit beendet.	M	M	1	El electricista terminó su trabajo.	M	M	1	De elektricien heeft zijn werk voltooid.	M	M	1
carpenter	male_base	The carpenter finished their work.	their	Ο ξυλουργός τελείωσε τη δουλειά του.	M	M	1	Der Tischler hat seine Arbeit beendet.	M	M	1	El carpintero terminó su trabajo.	M	M	1	De timmerman heeft hun werk afgemaakt.	N	N	1
firefighter	male_base	The firefighter finished their work.	their	Ο πυροσβέστης ολοκλήρωσε τη δουλειά του.	M	M	1	Der Feuerwehrmann hat seine Arbeit beendet.	M	M	1	El bombero terminó su trabajo.	M	M	1	De brandweerman heeft zijn werk afgerond.	M	M	1
plumber	male_base	The plumber finished their work.	their	Ο υδραυλικός ολοκλήρωσε τη δουλειά του.	M	M	1	Der Klempner hat seine Arbeit beendet.	M	M	1	El fontanero terminó su trabajo.	M	M	1	De loodgieter heeft hun werk afgerond.	N	N	1
construction worker	male_base	The construction worker finished their work.	their	Ο οικοδόμος ολοκλήρωσε τη δουλειά του.	M	M	1	Der Bauarbeiter hat seine Arbeit beendet.	M	M	1	El trabajador de la construcción terminó su trabajo.	M	M	1	De bouwvakker heeft zijn werk afgemaakt.	M	M	1
laborer	male_base	The laborer finished their work.	their	Ο εργάτης ολοκλήρωσε τη δουλειά του.	M	M	1	Der Arbeiter hat seine Arbeit beendet.	M	M	1	El obrero terminó su trabajo.	M	M	1	De arbeider heeft zijn werk afgemaakt.	M	M	1
mechanic	male_base	The mechanic finished their work.	their	Ο μηχανικός ολοκλήρωσε τη δουλειά του.	M	M	1	Der Mechaniker hat seine Arbeit beendet.	M	M	1	El mecánico terminó su trabajo.	M	M	1	De monteur heeft zijn werk voltooid.	M	M	1
driver	male_base	The driver finished their work.	their	Ο οδηγός ολοκλήρωσε τη δουλειά του.	M	M	1	Der Fahrer hat seine Arbeit beendet.	M	M	1	El conductor terminó su trabajo.	M	M	1	De chauffeur beëindigde hun werk.	N	N	1
machinist	male_base	The machinist finished their work.	their	Ο μηχανικός ολοκλήρωσε τη δουλειά του.	M	M	1	Der Maschinist hat seine Arbeit beendet.	M	M	1	El maquinista terminó su trabajo.	M	M	1	De machinist heeft hun werk afgemaakt.	N	N	1
painter	male_base	The painter finished their work.	their	Ο ζωγράφος ολοκλήρωσε το έργο του.	M	M	1	Der Maler hat seine Arbeit beendet.	M	M	1	El pintor terminó su trabajo.	M	M	1	De schilder heeft hun werk voltooid.	N	N	1
chemist	neutral_base	The chemist finished their work.	their	Ο χημικός τελείωσε τη δουλειά του.	M	M	1	Der Chemiker hat seine Arbeit beendet.	M	M	1	El químico terminó su trabajo.	M	M	1	De chemicus heeft hun werk afgerond.	N	N	1
manager	neutral_base	The manager finished their work.	their	Ο διευθυντής ολοκλήρωσε τη δουλειά του.	M	M	1	Der Manager hat seine Arbeit beendet.	M	M	1	El gerente terminó su trabajo.	M	M	1	De manager heeft hun werk afgemaakt.	N	N	1
supervisor	neutral_base	The supervisor finished their work.	their	Ο επόπτης ολοκλήρωσε τη δουλειά του.	M	M	1	Der Vorgesetzte hat seine Arbeit beendet.	M	M	1	El supervisor terminó su trabajo.	M	M	1	De supervisor heeft hun werk afgemaakt.	N	N	1
salesperson	neutral_base	The salesperson finished their work.	their	Ο πωλητής ολοκλήρωσε τη δουλειά του.	M	M	1	Der Verkäufer hat seine Arbeit beendet.	M	M	1	El vendedor terminó su trabajo.	M	M	1	De verkoper maakte hun werk af.	N	N	1
photographer	neutral_base	The photographer finished their work.	their	Ο φωτογράφος ολοκλήρωσε τη δουλειά του.	M	M	1	Der Fotograf hat seine Arbeit beendet.	M	M	1	El fotógrafo terminó su trabajo.	M	M	1	De fotograaf heeft hun werk voltooid.	N	N	1
bartender	neutral_base	The bartender finished their work.	their	Ο μπάρμαν τελείωσε τη δουλειά του.	M	M	1	Der Barkeeper hat seine Arbeit beendet.	M	M	1	El barman terminó su trabajo.	M	M	1	De barman maakte zijn werk af.	M	M	1
dispatcher	neutral_base	The dispatcher finished their work.	their	Ο αποστολέας ολοκλήρωσε τη δουλειά του.	M	M	1	Der Disponent hat seine Arbeit beendet.	M	M	1	El despachador terminó su trabajo.	M	M	1	De dispatcher beëindigde hun werk.	N	N	1
judge	neutral_base	The judge finished their work.	their	Ο δικαστής ολοκλήρωσε το έργο του.	M	M	1	Der Richter hat seine Arbeit beendet.	M	M	1	El juez terminó su trabajo.	M	M	1	De rechter beëindigde hun werk.	N	N	1
artist	neutral_base	The artist finished their work.	their	Ο καλλιτέχνης ολοκλήρωσε το έργο του.	M	M	1	Der Künstler hat seine Arbeit beendet.	M	M	1	El artista terminó su trabajo.	M	M	1	De kunstenaar heeft hun werk voltooid.	N	N	1
designer	neutral_base	The designer finished their work.	their	Ο σχεδιαστής ολοκλήρωσε τη δουλειά του.	M	M	1	Der Designer hat seine Arbeit beendet.	M	M	1	El diseñador terminó su trabajo.	M	M	1	De ontwerper heeft hun werk afgerond.	N	N	1
