adj5_sentences	type_base	type_adj	EL_GPT-4o	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_GPT-4o	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_GPT-4o	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_GPT-4o	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
The retiring secretary finished the work.	female base	female adj	Η συνταξιοδοτούμενη γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Der scheidende Sekretär hat die Arbeit beendet.	M	M	1	La secretaria que se jubila terminó el trabajo.	F	F	1	De secretaris die met pensioen gaat, heeft het werk afgemaakt.	N	F	0
The pleasant secretary finished the work.	female base	female adj	Η ευχάριστη γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Die freundliche Sekretärin hat die Arbeit beendet.	F	M	0	La amable secretaria terminó el trabajo.	F	F	1	De vriendelijke secretaresse maakte het werk af.	F	F	1
The affectionate secretary finished the work.	female base	female adj	Η στοργική γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Die liebevolle Sekretärin beendete die Arbeit.	F	M	0	La secretaria cariñosa terminó el trabajo.	F	F	1	De attente secretaresse maakte het werk af.	F	F	1
The gentle secretary finished the work.	female base	female adj	Η ευγενική γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Die sanfte Sekretärin beendete die Arbeit.	F	M	0	La amable secretaria terminó el trabajo.	F	F	1	De vriendelijke secretaresse maakte het werk af.	F	F	1
The shy secretary finished the work.	female base	female adj	Η ντροπαλή γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Die schüchterne Sekretärin hat die Arbeit beendet.	F	M	0	La secretaria tímida terminó el trabajo.	F	F	1	De verlegen secretaresse voltooide het werk.	F	F	1
The strong secretary finished the work.	female base	male adj	Η δυνατή γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Die starke Sekretärin hat die Arbeit beendet.	F	M	0	La secretaria fuerte terminó el trabajo.	F	F	1	De sterke secretaresse maakte het werk af.	F	F	1
The serious secretary finished the work.	female base	male adj	Η σοβαρή γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Die ernsthafte Sekretärin beendete die Arbeit.	F	M	0	La secretaria seria terminó el trabajo.	F	F	1	De serieuze secretaresse voltooide het werk.	F	F	1
The frank secretary finished the work.	female base	male adj	Η ειλικρινής γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Die aufrichtige Sekretärin beendete die Arbeit.	F	M	0	El secretario franco terminó el trabajo.	M	F	0	De eerlijke secretaresse voltooide het werk.	F	F	1
The stable secretary finished the work.	female base	male adj	Ο σταθερός γραμματέας ολοκλήρωσε τη δουλειά.	M	F	0	Der Sekretär des Stalls beendete die Arbeit.	error [incorrect]	M	0	El secretario estable terminó el trabajo.	M	F	0	De stalmeester heeft het werk afgemaakt.	error [incorrect]	F	0
The independent secretary finished the work.	female base	male adj	Η ανεξάρτητη γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Die unabhängige Sekretärin hat die Arbeit beendet.	F	M	0	La secretaria independiente terminó el trabajo.	F	F	1	De onafhankelijke secretaresse voltooide het werk.	F	F	1
