base	base_type	sentences	type	ES_GPT-4o_v1	ES_ann_v1	ES_GPT-4o_v2	ES_ann_v2	ES_GPT-4o_v3	ES_ann_v3	ES_GPT-4o_v4	ES_ann_v4	ES No. of TRs	at least 1 masc version?	at least 1 fem version?	at least 1 N version?	num_MF	num_NI	num_M	num_F	num_N	num_error[imixed]	num_error[incorrect]	percentage_correct	percentage_error	percentage_MF	percentage_NI	percentage_M	percentage_F	percentage_N	Column 1
secretary	female_base	The secretary finished the work.	base	El secretario terminó el trabajo.	M	La secretaria terminó el trabajo.	F		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
nutritionist	female_base	The nutritionist finished the work.	base	La nutricionista terminó el trabajo.	F	El nutricionista terminó el trabajo.	M		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
hairdresser	female_base	The hairdresser finished the work.	base	La peluquera terminó el trabajo.	F	El peluquero terminó el trabajo.	M		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
dietitian	female_base	The dietitian finished the work.	base	El dietista terminó el trabajo.	M	La dietista terminó el trabajo.	F		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
paralegal	female_base	The paralegal finished the work.	base	La asistente legal terminó el trabajo.	F	El asistente legal terminó el trabajo.	M		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
nurse	female_base	The nurse finished the work.	base	La enfermera terminó el trabajo.	F	El enfermero terminó el trabajo.	M		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
receptionist	female_base	The receptionist finished the work.	base	La recepcionista terminó el trabajo.	F	El recepcionista terminó el trabajo.	M		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
housekeeper	female_base	The housekeeper finished the work.	base	La ama de llaves terminó el trabajo.	error [incorrect]	El amo de llaves terminó el trabajo.	M		n/a		n/a	2	yes	no	no	0	0	1	0	0	0	1	0.5	0.5	0	0	0.5	0	0	1
cleaner	female_base	The cleaner finished the work.	base	El limpiador terminó el trabajo.	M	La limpiadora terminó el trabajo.	F		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
assistant	female_base	The assistant finished the work.	base	El asistente terminó el trabajo.	M	La asistente terminó el trabajo.	F		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
electrician	male_base	The electrician finished the work.	base	El electricista terminó el trabajo.	M	La electricista terminó el trabajo.	F	La persona electricista terminó el trabajo.	N	El o la electricista terminó el trabajo.	M + F	4	yes	yes	yes	1	0	1	1	1	0	0	1	0	0.25	0	0.25	0.25	0.25	1
carpenter	male_base	The carpenter finished the work.	base	El carpintero terminó el trabajo.	M	La carpintera terminó el trabajo.	F		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
firefighter	male_base	The firefighter finished the work.	base	El bombero terminó el trabajo.	M	La bombera terminó el trabajo.	F		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
plumber	male_base	The plumber finished the work.	base	El fontanero terminó el trabajo.	M	La fontanera terminó el trabajo.	F	El plomero terminó el trabajo.	M	La plomera terminó el trabajo.	error [incorrect]	4	yes	yes	no	0	0	2	1	0	0	1	0.75	0.25	0	0	0.5	0.25	0	1
construction worker	male_base	The construction worker finished the work.	base	El trabajador de la construcción terminó el trabajo.	M	La trabajadora de la construcción terminó el trabajo.	F	La persona trabajadora de la construcción terminó el trabajo.	N	El/la trabajador/a de la construcción terminó el trabajo.	M + F	4	yes	yes	yes	1	0	1	1	1	0	0	1	0	0.25	0	0.25	0.25	0.25	1
laborer	male_base	The laborer finished the work.	base	El obrero terminó el trabajo.	M	La obrera terminó el trabajo.	F		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
mechanic	male_base	The mechanic finished the work.	base	El mecánico terminó el trabajo.	M	La mecánica terminó el trabajo.	F		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
driver	male_base	The driver finished the work.	base	El conductor terminó el trabajo.	M	La conductora terminó el trabajo.	F		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
machinist	male_base	The machinist finished the work.	base	El maquinista terminó el trabajo.	M	La maquinista terminó el trabajo.	F		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
painter	male_base	The painter finished the work.	base	El pintor terminó el trabajo.	M	La pintora terminó el trabajo.	F	El/la pintor/a terminó el trabajo.	M + F	Le pinotre terminó el trabajo.	error [incorrect]	4	yes	yes	no	1	0	1	1	0	0	1	0.75	0.25	0.25	0	0.25	0.25	0	1
chemist	neutral_base	The chemist finished the work.	base	El químico terminó el trabajo.	M	La química terminó el trabajo.	F		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
manager	neutral_base	The manager finished the work.	base	El gerente terminó el trabajo.	M	La gerente terminó el trabajo.	error [incorrect]	Le gerente terminó el trabajo.	N/I		n/a	3	yes	no	yes	0	1	1	0	0	0	1	0.6666666667	0.3333333333	0	0.3333333333	0.3333333333	0	0	1
supervisor	neutral_base	The supervisor finished the work.	base	El supervisor terminó el trabajo.	M	La supervisora terminó el trabajo. 	F	Le supervise terminó el trabajo.	N/I		n/a	3	yes	yes	yes	0	1	1	1	0	0	0	1	0	0	0.3333333333	0.3333333333	0.3333333333	0	1
salesperson	neutral_base	The salesperson finished the work.	base	El vendedor terminó el trabajo.	M	La vendedora terminó el trabajo.	F	La persona vendedora terminó el trabajo.	N	La persona que vende terminó el trabajo.	N	4	yes	yes	yes	0	0	1	1	2	0	0	1	0	0	0	0.25	0.25	0.5	1
photographer	neutral_base	The photographer finished the work.	base	El fotógrafo terminó el trabajo.	M	La fotógrafa terminó el trabajo.	F		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
bartender	neutral_base	The bartender finished the work.	base	El barman terminó el trabajo.	M	El bartender terminó el trabajo.	error [incorrect]	La barwoman terminó el trabajo.	error [incorrect]	La bartender terminó el trabajo.	error [incorrect]	4	yes	no	no	0	0	1	0	0	0	3	0.25	0.75	0	0	0.25	0	0	1
dispatcher	neutral_base	The dispatcher finished the work.	base	El despachador terminó el trabajo.	M	La despachadora terminó el trabajo.	F	Le despachadore terminó el trabajo.	N/I	La persona encargada de despachar terminó el trabajo. 	N	4	yes	yes	yes	0	1	1	1	1	0	0	1	0	0	0.25	0.25	0.25	0.25	1
judge	neutral_base	The judge finished the work.	base	El juez terminó el trabajo.	M	La jueza terminó el trabajo.	F		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
artist	neutral_base	The artist finished the work.	base	El artista terminó la obra.	M	La artista terminó la obra.	F	El artista terminó el trabajo.	M	La artista terminó el trabajo.	F	4	yes	yes	no	0	0	2	2	0	0	0	1	0	0	0	0.5	0.5	0	1
designer	neutral_base	The designer finished the work.	base	El diseñador terminó el trabajo.	M	La diseñadora terminó el trabajo.	F	Le diseñadore terminó el trabajo.	N/I		n/a	3	yes	yes	yes	0	1	1	1	0	0	0	1	0	0	0.3333333333	0.3333333333	0.3333333333	0	1
