base	base_type	sentences	type	EL_GT	DE_GT	ES_GT	NL_GT
secretary	female_base	The secretary finished their work.	their	Ο γραμματέας τελείωσε τη δουλειά τους.	Die Sekretärin beendete ihre Arbeit.	La secretaria terminó su trabajo.	De secretaresse was klaar met haar werk.
nutritionist	female_base	The nutritionist finished their work.	their	Ο διατροφολόγος τελείωσε τη δουλειά τους.	Die Ernährungsberaterin hat ihre Arbeit beendet.	El nutricionista terminó su trabajo.	De voedingsdeskundige is klaar met haar werk.
hairdresser	female_base	The hairdresser finished their work.	their	Ο κομμωτής τελείωσε τη δουλειά τους.	Der Friseur hat seine Arbeit beendet.	El peluquero terminó su trabajo.	De kapper is klaar met zijn werk.
dietitian	female_base	The dietitian finished their work.	their	Ο διαιτολόγος τελείωσε τη δουλειά τους.	Die Ernährungsberaterin hat ihre Arbeit beendet.	La distaste terminó su trabajo.	De diëtist is klaar met haar werk.
paralegal	female_base	The paralegal finished their work.	their	Ο δικηγόρος τελείωσε τη δουλειά τους.	Die Rechtsanwaltsgehilfen haben ihre Arbeit beendet.	El asistente legal terminó su trabajo.	De paralegal heeft zijn werk afgerond.
nurse	female_base	The nurse finished their work.	their	Η νοσοκόμα τελείωσε τη δουλειά της.	Die Krankenschwester beendete ihre Arbeit.	La enfermera terminó su trabajo.	De verpleegster was klaar met haar werk.
receptionist	female_base	The receptionist finished their work.	their	Ο ρεσεψιονίστ τελείωσε τη δουλειά του.	Die Rezeptionistin hat ihre Arbeit beendet.	La recepcionista terminó su trabajo.	De receptioniste was klaar met haar werk.
housekeeper	female_base	The housekeeper finished their work.	their	Η οικονόμος τελείωσε τη δουλειά τους.	Die Haushälterin beendete ihre Arbeit.	La ama de llaves terminó su trabajo.	De huishoudster was klaar met haar werk.
cleaner	female_base	The cleaner finished their work.	their	Η καθαρίστρια τελείωσε τη δουλειά της.	Die Reinigungskraft hat ihre Arbeit beendet.	El limpiador terminó su trabajo.	De schoonmaker is klaar met zijn werk.
assistant	female_base	The assistant finished their work.	their	Ο βοηθός τελείωσε τη δουλειά τους.	Der Assistent hat seine Arbeit beendet.	El asistente terminó su trabajo.	De assistent is klaar met zijn werk.
electrician	male_base	The electrician finished their work.	their	Ο ηλεκτρολόγος τελείωσε τη δουλειά τους.	Der Elektriker hat seine Arbeit beendet.	El electricista terminó su trabajo.	De elektricien is klaar met zijn werk.
