base	base_type	sentences	type	EL_EuroLLM	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_EuroLLM	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_EuroLLM	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_EuroLLM	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
secretary	female_base	The secretary finished their work.	their	Ο υπάλληλος γραμματειακής υποστήριξης ολοκλήρωσε το έργο του.	M	M	1	Die Sekretärin hat ihre Arbeit beendet.	F	F	1	La secretaria terminó su trabajo.	F	F	1	De secretaresse had haar werk af.	F	F	1
nutritionist	female_base	The nutritionist finished their work.	their	Ο διαιτολόγος τελείωσε τη δουλειά του.	M	M	1	Die Ernährungsberaterin hat ihre Arbeit beendet.	F	F	1	La nutricionista terminó su trabajo.	F	F	1	De diëtiste heeft haar werk afgerond.	F	F	1
hairdresser	female_base	The hairdresser finished their work.	their	Ο κομμωτής τελείωσε τη δουλειά του.	M	M	1	Der Frisör hat seine Arbeit beendet.	M	M	1	El peluquero terminó su trabajo.	M	M	1	De kapper was klaar met zijn werk.	M	M	1
dietitian	female_base	The dietitian finished their work.	their	Ο διαιτολόγος ολοκλήρωσε τη δουλειά του.	M	M	1	Die Ernährungsberaterin hat ihre Arbeit beendet.	F	F	1	La dietista terminó su trabajo.	F	F	1	De diëtist heeft haar werk afgerond.	F	F	1
paralegal	female_base	The paralegal finished their work.	their	Ο εισαγγελέας έκανε το καθήκον του.	M	M	1	Die Paralegal hat ihre Arbeit beendet.	error [incorrect]	F	0	El asistente legal terminó su trabajo.	M	M	1	De jurist heeft zijn werk afgerond.	M	M	1
nurse	female_base	The nurse finished their work.	their	Η νοσοκόμα ολοκλήρωσε τη δουλειά της.	F	F	1	Die Krankenschwester hat ihre Arbeit beendet.	F	F	1	La enfermera terminó su trabajo.	F	F	1	De verpleegkundige had haar/zijn werk af.	N	N	1
receptionist	female_base	The receptionist finished their work.	their	Η ρεσεψιονίστ τελείωσε τη δουλειά της.	F	F	1	Die Rezeptionistin beendete ihre Arbeit.	F	F	1	La recepcionista concluyó su trabajo.	F	F	1	De receptioniste heeft haar werk afgemaakt.	F	F	1
housekeeper	female_base	The housekeeper finished their work.	their	Ο οικονόμος ολοκλήρωσε τη δουλειά του.	M	M	1	Die Haushälterin hat ihre Arbeit erledigt.	F	F	1	La mucama terminó su trabajo.	F	F	1	De huishoudster heeft haar werk afgelopen.	error [incorrect]	F	0
cleaner	female_base	The cleaner finished their work.	their	Eχοντας τελειώσει η καθαρίστρια την δουλειά της.	error [incorrect]	F	0	Der(die) Reinigungskraft beendete seine/ihre Arbeit.	N	N	1	In Spanish, that sentence translates to "El limpiador	error [incorrect]	M	0	De schoonmaker heeft zijn werk afgerond.	M	M	1
assistant	female_base	The assistant finished their work.	their	Ο βοηθός ολοκλήρωσε το έργο του.	M	M	1	Die Assistentin hat ihre Arbeit beendet.	F	F	1	El asistente terminó su trabajo.	M	M	1	De assistent heeft haar werk afgemaakt.	F	F	1
