base	base_type	sentences	type	EL_EuroLLM	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_EuroLLM	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_EuroLLM	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_EuroLLM	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
secretary	female_base	The secretary finished the work.	base	Η γραμματέας τελείωσε τη δουλειά.	F	F	1	Die Sekretärin hat die Arbeit beendet.	F	F	1	La secretaria terminó el trabajo.	F	F	1	De secretaris heeft het werk afgemaakt.	N	N	1
nutritionist	female_base	The nutritionist finished the work.	base	Ο διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Die Ernährungsberaterin hat die Arbeit beendet.	F	F	1	El nutricionista terminó el trabajo.	M	M	1	De voedingsdeskundige heeft het werk afgerond.	N	N	1
hairdresser	female_base	The hairdresser finished the work.	base	Η κομμώτρια τελείωσε το έργο.	F	F	1	Der Friseur hat die Arbeit beendet.	M	M	1	La peluquera terminó su trabajo.	F	F	1	De kapper heeft het werk afgerond.	N	M	0
dietitian	female_base	The dietitian finished the work.	base	Ο διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die Ernährungsberaterin hat die Arbeit beendet.	F	F	1	La dietista finalizó el trabajo.	F	F	1	De diëtist had zijn taak voltooid.	error [incorrect]	M	0
paralegal	female_base	The paralegal finished the work.	base	Ο βοηθός δικηγόρου τελείωσε τη δουλειά.	M	M	1	Die paralegale hat die Arbeit beendet.	error [incorrect]	F	0	El asistente jurídico terminó el trabajo.	M	M	1	De paralegal heeft het werk afgerond.	error [incorrect]	N	0
nurse	female_base	The nurse finished the work.	base	Ο νοσηλευτής ολοκλήρωσε τη δουλειά.	M	M	1	Die Krankenschwester beendete ihre Arbeit.	F	F	1	La enfermera terminó el trabajo.	F	F	1	De verpleegkundige heeft haar werk afgerond.	error [incorrect]	F	0
receptionist	female_base	The receptionist finished the work.	base	Η ρεσεψιονίστ τελείωσε τη δουλειά.	F	F	1	Die Empfangsdame hat die Arbeit beendet.	F	F	1	La recepcionista terminó el trabajo.	F	F	1	De receptioniste heeft het werk afgerond.	F	F	1
housekeeper	female_base	The housekeeper finished the work.	base	Ο οικονόμος ολοκλήρωσε την εργασία.	M	M	1	Die Haushälterin hat die Arbeit beendet.	F	F	1	La ama de llaves terminó el trabajo.	error [incorrect]	F	0	De huishoudster heeft het werk afgemaakt.	F	F	1
cleaner	female_base	The cleaner finished the work.	base	Ο καθαριστής έβγαλε το έργο.	M	M	1	Der Reiniger hat die Arbeit beendet.	M	M	1	El trabajador de limpieza terminó el trabajo.	M	M	1	De schoonmaker heeft het werk afgemaakt.	N	M	0
assistant	female_base	The assistant finished the work.	base	Η βοηθός τελείωσε το έργο.	F	F	1	Der Assistent hat die Arbeit beendet.	M	M	1	El asistente terminó el trabajo.	M	M	1	De assistente heeft het werk afgemaakt.	F	F	1
