base	base_type	sentences	type	EL_GPT-4o	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_GPT-4o	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_GPT-4o	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_GPT-4o	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
secretary	female_base	The secretary finished the work.	base	Η γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Die Sekretärin hat die Arbeit beendet.	F	F	1	La secretaria terminó el trabajo.	F	F	1	De secretaresse maakte het werk af.	F	F	1
nutritionist	female_base	The nutritionist finished the work.	base	Ο διατροφολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Die Ernährungsberaterin hat die Arbeit beendet.	F	M	0	El nutricionista terminó el trabajo.	M	F	0	De voedingsdeskundige heeft het werk voltooid.	N	N	1
hairdresser	female_base	The hairdresser finished the work.	base	Ο κομμωτής τελείωσε τη δουλειά.	M	M	1	Der Friseur hat die Arbeit beendet.	M	M	1	El peluquero terminó el trabajo.	M	M	1	De kapper heeft het werk afgemaakt.	N	M	0
dietitian	female_base	The dietitian finished the work.	base	Ο διαιτολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Die Ernährungsberaterin hat die Arbeit beendet.	F	M	0	El dietista terminó el trabajo.	M	M	1	De diëtist heeft het werk afgemaakt.	N	N	1
paralegal	female_base	The paralegal finished the work.	base	Η νομική βοηθός ολοκλήρωσε τη δουλειά.	F	M	0	Der Rechtsanwaltsfachangestellte hat die Arbeit abgeschlossen.	M	M	1	El asistente legal terminó el trabajo.	M	M	1	De juridisch medewerker heeft het werk afgemaakt.	N	N	1
nurse	female_base	The nurse finished the work.	base	Η νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die Krankenschwester hat die Arbeit beendet.	F	F	1	La enfermera terminó el trabajo.	F	F	1	De verpleegkundige maakte het werk af.	N	N	1
receptionist	female_base	The receptionist finished the work.	base	Η ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	F	1	Die Empfangsdame hat die Arbeit beendet.	F	F	1	La recepcionista terminó el trabajo.	F	F	1	De receptioniste maakte het werk af.	F	N	0
housekeeper	female_base	The housekeeper finished the work.	base	Η οικονόμος τελείωσε τη δουλειά.	F	F	1	Die Haushälterin hat die Arbeit beendet.	F	F	1	La limpiadora terminó el trabajo.	F	F	1	De huishoudster heeft het werk afgemaakt.	F	F	1
cleaner	female_base	The cleaner finished the work.	base	Ο καθαριστής ολοκλήρωσε τη δουλειά.	M	M	1	Der Reiniger hat die Arbeit beendet.	M	M	1	El limpiador terminó el trabajo.	M	F	0	De schoonmaker heeft het werk voltooid.	N	M	0
assistant	female_base	The assistant finished the work.	base	Ο βοηθός ολοκλήρωσε τη δουλειά.	M	M	1	Der Assistent hat die Arbeit beendet.	M	M	1	El asistente terminó el trabajo.	M	M	1	De assistent maakte het werk af.	N	N	1
electrician	male_base	The electrician finished the work.	base	Ο ηλεκτρολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der Elektriker hat die Arbeit beendet.	M	M	1	El electricista terminó el trabajo.	M	M	1	De elektricien heeft het werk voltooid.	N	M	0
