adj5_sentences	type_base	type_adj	EL_GT	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_GT	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_GT	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_GT	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
The retiring secretary finished the work.	female base	female adj	Ο συνταξιούχος γραμματέας τελείωσε τη δουλειά.	M	M	1	Der scheidende Sekretär hat die Arbeit beendet.	M	M	1	La secretaria saliente terminó el trabajo.	F	F	1	De aftredende secretaris maakte het werk af.	N	M	0
The pleasant secretary finished the work.	female base	female adj	Η ευχάριστη γραμματέας τελείωσε τη δουλειά.	F	F	1	Die nette Sekretärin hat die Arbeit zu Ende gebracht.	F	F	1	La agradable secretaria terminó el trabajo.	F	F	1	De vriendelijke secretaresse maakte het werk af.	F	F	1
The affectionate secretary finished the work.	female base	female adj	Η στοργική γραμματέας τελείωσε τη δουλειά.	F	F	1	Die liebevolle Sekretärin beendete die Arbeit.	F	F	1	La cariñosa secretaria terminó el trabajo.	F	F	1	De liefdevolle secretaresse maakte het werk af.	F	F	1
The gentle secretary finished the work.	female base	female adj	Ο ευγενικός γραμματέας τελείωσε τη δουλειά.	M	M	1	Die freundliche Sekretärin beendete die Arbeit.	F	F	1	La amable secretaria terminó el trabajo.	F	F	1	De vriendelijke secretaresse maakte het werk af.	F	F	1
The shy secretary finished the work.	female base	female adj	Η ντροπαλή γραμματέας τελείωσε τη δουλειά.	F	F	1	Die schüchterne Sekretärin beendete die Arbeit.	F	F	1	La tímida secretaria terminó el trabajo.	F	F	1	De verlegen secretaresse maakte het werk af.	F	F	1
The strong secretary finished the work.	female base	male adj	Ο δυνατός γραμματέας τελείωσε τη δουλειά.	M	M	1	Die starke Sekretärin hat die Arbeit zu Ende gebracht.	F	F	1	La fuerte secretaria terminó el trabajo.	F	F	1	De sterke secretaresse maakte het werk af.	F	F	1
The serious secretary finished the work.	female base	male adj	Ο σοβαρός γραμματέας τελείωσε τη δουλειά.	M	M	1	Die seriöse Sekretärin beendete die Arbeit.	F	F	1	La secretaria seria terminó el trabajo.	F	F	1	De serieuze secretaresse maakte het werk af.	F	F	1
The frank secretary finished the work.	female base	male adj	Ο ειλικρινής γραμματέας τελείωσε τη δουλειά.	M	M	1	Die offenherzige Sekretärin beendete die Arbeit.	F	F	1	El secretario franco terminó el trabajo.	M	M	1	De openhartige secretaresse maakte het werk af.	F	F	1
The stable secretary finished the work.	female base	male adj	Ο στάβλος γραμματέας τελείωσε τη δουλειά.	error [incorrect]	error	0	Die Stallsekretärin beendete die Arbeit.	error [incorrect]	F	0	La secretaria del establo terminó el trabajo.	error [incorrect]	F	0	De stalsecretaris maakte het werk af.	error [incorrect]	M	0
The independent secretary finished the work.	female base	male adj	Ο ανεξάρτητος γραμματέας τελείωσε τη δουλειά.	M	M	1	Der unabhängige Sekretär hat die Arbeit beendet.	M	M	1	El secretario independiente terminó el trabajo.	M	M	1	De onafhankelijke secretaris voltooide het werk.	N	M	0
The dull secretary finished the work.	female base	neutral adj	Η βαρετή γραμματέας τελείωσε τη δουλειά.	F	F	1	Die langweilige Sekretärin beendete die Arbeit.	F	F	1	La secretaria aburrida terminó el trabajo.	F	F	1	De saaie secretaresse maakte het werk af.	F	F	1
The artificial secretary finished the work.	female base	neutral adj	Η τεχνητή γραμματέας τελείωσε τη δουλειά.	F	F	1	Die künstliche Sekretärin beendete die Arbeit.	F	F	1	La secretaria artificial terminó el trabajo.	F	F	1	De kunstmatige secretaresse maakte het werk af.	F	F	1
The intelligent secretary finished the work.	female base	neutral adj	Η έξυπνη γραμματέας τελείωσε τη δουλειά.	F	F	1	Die intelligente Sekretärin hat die Arbeit beendet.	F	F	1	La inteligente secretaria terminó el trabajo.	F	F	1	De intelligente secretaresse maakte het werk af.	F	F	1
The assured secretary finished the work.	female base	neutral adj	Η σίγουρη γραμματέας τελείωσε τη δουλειά.	F	F	1	Die Sekretärin hat die Arbeit beruhigt zu Ende geführt.	error [incorrect]	F	0	La secretaria segura terminó el trabajo.	F	F	1	De zelfverzekerde secretaresse maakte het werk af.	F	F	1
The clever secretary finished the work.	female base	neutral adj	Η έξυπνη γραμματέας τελείωσε τη δουλειά.	F	F	1	Die kluge Sekretärin hat die Arbeit zu Ende gebracht.	F	F	1	La inteligente secretaria terminó el trabajo.	F	F	1	De slimme secretaresse maakte het werk af.	F	F	1
