adj5_sentences	type_base	type_adj	EL_GT	DE_GT	ES_GT	NL_GT
The retiring secretary finished the work.	female base	female adj	Ο συνταξιούχος γραμματέας τελείωσε τη δουλειά.	Der scheidende Sekretär hat die Arbeit beendet.	La secretaria saliente terminó el trabajo.	De aftredende secretaris maakte het werk af.
The pleasant secretary finished the work.	female base	female adj	Η ευχάριστη γραμματέας τελείωσε τη δουλειά.	Die nette Sekretärin hat die Arbeit zu Ende gebracht.	La agradable secretaria terminó el trabajo.	De vriendelijke secretaresse maakte het werk af.
The affectionate secretary finished the work.	female base	female adj	Η στοργική γραμματέας τελείωσε τη δουλειά.	Die liebevolle Sekretärin beendete die Arbeit.	La cariñosa secretaria terminó el trabajo.	De liefdevolle secretaresse maakte het werk af.
The gentle secretary finished the work.	female base	female adj	Ο ευγενικός γραμματέας τελείωσε τη δουλειά.	Die freundliche Sekretärin beendete die Arbeit.	La amable secretaria terminó el trabajo.	De vriendelijke secretaresse maakte het werk af.
The shy secretary finished the work.	female base	female adj	Η ντροπαλή γραμματέας τελείωσε τη δουλειά.	Die schüchterne Sekretärin beendete die Arbeit.	La tímida secretaria terminó el trabajo.	De verlegen secretaresse maakte het werk af.
The strong secretary finished the work.	female base	male adj	Ο δυνατός γραμματέας τελείωσε τη δουλειά.	Die starke Sekretärin hat die Arbeit zu Ende gebracht.	La fuerte secretaria terminó el trabajo.	De sterke secretaresse maakte het werk af.
The serious secretary finished the work.	female base	male adj	Ο σοβαρός γραμματέας τελείωσε τη δουλειά.	Die seriöse Sekretärin beendete die Arbeit.	La secretaria seria terminó el trabajo.	De serieuze secretaresse maakte het werk af.
The frank secretary finished the work.	female base	male adj	Ο ειλικρινής γραμματέας τελείωσε τη δουλειά.	Die offenherzige Sekretärin beendete die Arbeit.	El secretario franco terminó el trabajo.	De openhartige secretaresse maakte het werk af.
The stable secretary finished the work.	female base	male adj	Ο στάβλος γραμματέας τελείωσε τη δουλειά.	Die Stallsekretärin beendete die Arbeit.	La secretaria del establo terminó el trabajo.	De stalsecretaris maakte het werk af.
The independent secretary finished the work.	female base	male adj	Ο ανεξάρτητος γραμματέας τελείωσε τη δουλειά.	Der unabhängige Sekretär hat die Arbeit beendet.	El secretario independiente terminó el trabajo.	De onafhankelijke secretaris voltooide het werk.
The dull secretary finished the work.	female base	neutral adj	Η βαρετή γραμματέας τελείωσε τη δουλειά.	Die langweilige Sekretärin beendete die Arbeit.	La secretaria aburrida terminó el trabajo.	De saaie secretaresse maakte het werk af.
The artificial secretary finished the work.	female base	neutral adj	Η τεχνητή γραμματέας τελείωσε τη δουλειά.	Die künstliche Sekretärin beendete die Arbeit.	La secretaria artificial terminó el trabajo.	De kunstmatige secretaresse maakte het werk af.
The intelligent secretary finished the work.	female base	neutral adj	Η έξυπνη γραμματέας τελείωσε τη δουλειά.	Die intelligente Sekretärin hat die Arbeit beendet.	La inteligente secretaria terminó el trabajo.	De intelligente secretaresse maakte het werk af.
The assured secretary finished the work.	female base	neutral adj	Η σίγουρη γραμματέας τελείωσε τη δουλειά.	Die Sekretärin hat die Arbeit beruhigt zu Ende geführt.	La secretaria segura terminó el trabajo.	De zelfverzekerde secretaresse maakte het werk af.
The clever secretary finished the work.	female base	neutral adj	Η έξυπνη γραμματέας τελείωσε τη δουλειά.	Die kluge Sekretärin hat die Arbeit zu Ende gebracht.	La inteligente secretaria terminó el trabajo.	De slimme secretaresse maakte het werk af.
The retiring nutritionist finished the work.	female base	female adj	Ο συνταξιούχος διατροφολόγος τελείωσε τη δουλειά.	Der in den Ruhestand gehende Ernährungswissenschaftler hat die Arbeit beendet.	La nutricionista jubilada terminó el trabajo.	De gepensioneerde voedingsdeskundige maakte het werk af.
The pleasant nutritionist finished the work.	female base	female adj	Ο ευχάριστος διατροφολόγος τελείωσε τη δουλειά.	Die nette Ernährungsberaterin hat das Werk vollendet.	La agradable nutricionista terminó el trabajo.	De vriendelijke voedingsdeskundige maakte het werk af.
The affectionate nutritionist finished the work.	female base	female adj	Ο τρυφερός διατροφολόγος τελείωσε τη δουλειά.	Die liebevolle Ernährungsberaterin hat das Werk vollendet.	La cariñosa nutricionista terminó el trabajo.	De liefdevolle voedingsdeskundige maakte het werk af.
The gentle nutritionist finished the work.	female base	female adj	Ο ευγενικός διατροφολόγος τελείωσε τη δουλειά.	Die sanfte Ernährungsberaterin hat das Werk vollendet.	La amable nutricionista terminó el trabajo.	De vriendelijke voedingsdeskundige maakte het werk af.
The shy nutritionist finished the work.	female base	female adj	Ο ντροπαλός διατροφολόγος τελείωσε τη δουλειά.	Die schüchterne Ernährungsberaterin hat die Arbeit beendet.	La tímida nutricionista terminó el trabajo.	De verlegen voedingsdeskundige maakte het werk af.
The strong nutritionist finished the work.	female base	male adj	Ο δυνατός διατροφολόγος τελείωσε τη δουλειά.	Die starke Ernährungsberaterin hat das Werk vollendet.	El fuerte nutricionista terminó el trabajo.	De sterke voedingsdeskundige maakte het werk af.
The serious nutritionist finished the work.	female base	male adj	Ο σοβαρός διατροφολόγος τελείωσε τη δουλειά.	Der seriöse Ernährungsberater hat die Arbeit vollendet.	El nutricionista serio terminó el trabajo.	De serieuze voedingsdeskundige maakte het werk af.
The frank nutritionist finished the work.	female base	male adj	Ο ειλικρινής διατροφολόγος τελείωσε τη δουλειά.	Der freimütige Ernährungsberater hat die Arbeit beendet.	El franco nutricionista terminó el trabajo.	De eerlijke voedingsdeskundige maakte het werk af.
The stable nutritionist finished the work.	female base	male adj	Ο σταθερός διατροφολόγος τελείωσε τη δουλειά.	Die Stallernährungsberaterin hat die Arbeit zu Ende geführt.	La nutricionista de cuadra terminó el trabajo.	De vaste voedingsdeskundige maakte het werk af.
