adj5_sentences	type_base	type_adj	EL_DeepL	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_DeepL	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_DeepL	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_DeepL	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
The retiring secretary finished the work.	female base	female adj	Ο αποχωρών γραμματέας ολοκλήρωσε το έργο.	M	M	1	Der scheidende Sekretär beendete die Arbeit.	M	M	1	El secretario saliente terminó el trabajo.	M	M	1	De aftredende secretaris maakte het werk af.	N	M	0
The pleasant secretary finished the work.	female base	female adj	Η ευχάριστη γραμματέας τελείωσε τη δουλειά.	F	F	1	Die nette Sekretärin beendete die Arbeit.	F	F	1	La agradable secretaria terminó el trabajo.	F	F	1	De aardige secretaresse maakte het werk af.	F	F	1
The affectionate secretary finished the work.	female base	female adj	Η στοργική γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Die liebevolle Sekretärin beendete die Arbeit.	F	F	1	La afectuosa secretaria terminó el trabajo.	F	F	1	De secretaresse maakte het werk af.	error [incorrect]	F	0
The gentle secretary finished the work.	female base	female adj	Η ευγενική γραμματέας τελείωσε τη δουλειά.	F	F	1	Der freundliche Sekretär beendete die Arbeit.	M	M	1	La amable secretaria terminó el trabajo.	F	F	1	De zachtaardige secretaresse maakte het werk af.	F	F	1
The shy secretary finished the work.	female base	female adj	Η ντροπαλή γραμματέας τελείωσε τη δουλειά.	F	F	1	Die schüchterne Sekretärin beendete die Arbeit.	F	F	1	La tímida secretaria terminó el trabajo.	F	F	1	De verlegen secretaresse maakte het werk af.	F	F	1
The strong secretary finished the work.	female base	male adj	Ο ισχυρός γραμματέας ολοκλήρωσε το έργο.	M	M	1	Der starke Sekretär beendete die Arbeit.	M	M	1	El secretario fuerte terminó el trabajo.	M	M	1	De sterke secretaris maakte het werk af.	N	M	0
The serious secretary finished the work.	female base	male adj	Ο σοβαρός γραμματέας τελείωσε το έργο.	M	M	1	Der seriöse Sekretär beendete die Arbeit.	M	M	1	La secretaria seria terminó el trabajo.	F	F	1	De serieuze secretaresse maakte het werk af.	F	F	1
The frank secretary finished the work.	female base	male adj	Ο ειλικρινής γραμματέας ολοκλήρωσε το έργο.	M	M	1	Der offene Sekretär beendete die Arbeit.	M	M	1	El secretario franco terminó el trabajo.	M	M	1	De openhartige secretaris maakte het werk af.	N	M	0
The stable secretary finished the work.	female base	male adj	Ο γραμματέας του στάβλου τελείωσε τη δουλειά.	error [incorrect]	M	0	Der Stallmeister hat die Arbeit beendet.	error [incorrect]	M	0	El secretario del establo terminó el trabajo.	error [incorrect]	M	0	De stalsecretaris maakte het werk af.	error [incorrect]	M	0
The independent secretary finished the work.	female base	male adj	Ο ανεξάρτητος γραμματέας ολοκλήρωσε το έργο.	M	M	1	Der unabhängige Sekretär beendete die Arbeit.	M	M	1	El secretario independiente terminó el trabajo.	M	M	1	De onafhankelijke secretaris maakte het werk af.	N	M	0
The dull secretary finished the work.	female base	neutral adj	Η βαρετή γραμματέας τελείωσε τη δουλειά.	F	F	1	Die langweilige Sekretärin beendete die Arbeit.	F	F	1	La aburrida secretaria terminó el trabajo.	F	F	1	De saaie secretaresse maakte het werk af.	F	F	1
The artificial secretary finished the work.	female base	neutral adj	Ο τεχνητός γραμματέας ολοκλήρωσε το έργο.	M	M	1	Der künstliche Sekretär beendete die Arbeit.	M	M	1	La secretaria artificial terminó el trabajo.	F	F	1	De kunstmatige secretaresse maakte het werk af.	F	F	1
The intelligent secretary finished the work.	female base	neutral adj	Η έξυπνη γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Die intelligente Sekretärin beendete die Arbeit.	F	F	1	La inteligente secretaria terminó el trabajo.	F	F	1	De intelligente secretaresse maakte het werk af.	F	F	1
The assured secretary finished the work.	female base	neutral adj	Ο σίγουρος γραμματέας ολοκλήρωσε το έργο.	M	M	1	Die versicherte Sekretärin beendete die Arbeit.	F	F	1	El secretario asegurado terminó el trabajo.	M	M	1	De verzekerde secretaris maakte het werk af.	N	M	0
The clever secretary finished the work.	female base	neutral adj	Η έξυπνη γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Die kluge Sekretärin beendete die Arbeit.	F	F	1	La inteligente secretaria terminó el trabajo.	F	F	1	De slimme secretaresse maakte het werk af.	F	F	1
The retiring nutritionist finished the work.	female base	female adj	Ο συνταξιούχος διατροφολόγος ολοκλήρωσε το έργο.	M	M	1	Die Ernährungsberaterin im Ruhestand beendete die Arbeit.	F	F	1	La nutricionista jubilada terminó el trabajo.	F	F	1	De gepensioneerde voedingsdeskundige maakte het werk af.	N	N	1
The pleasant nutritionist finished the work.	female base	female adj	Η ευχάριστη διατροφολόγος ολοκλήρωσε τη δουλειά.	F	F	1	Die angenehme Ernährungsberaterin beendete die Arbeit.	F	F	1	La agradable nutricionista terminó el trabajo.	F	F	1	De aangename voedingsdeskundige maakte het werk af.	N	N	1
The affectionate nutritionist finished the work.	female base	female adj	Ο στοργικός διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Die liebevolle Ernährungsberaterin beendete die Arbeit.	F	F	1	El afectuoso nutricionista terminó el trabajo.	M	M	1	De aanhankelijke voedingsdeskundige maakte het werk af.	N	N	1
The gentle nutritionist finished the work.	female base	female adj	Η ευγενική διατροφολόγος ολοκλήρωσε τη δουλειά.	F	F	1	Der sanfte Ernährungsberater beendete die Arbeit.	M	M	1	La amable nutricionista terminó el trabajo.	F	F	1	De zachte voedingsdeskundige maakte het werk af.	N	N	1
The shy nutritionist finished the work.	female base	female adj	Η ντροπαλή διατροφολόγος τελείωσε τη δουλειά.	F	F	1	Die schüchterne Ernährungsberaterin beendete die Arbeit.	F	F	1	La tímida nutricionista terminó el trabajo.	F	F	1	De verlegen voedingsdeskundige maakte het werk af.	N	N	1
The strong nutritionist finished the work.	female base	male adj	Ο ισχυρός διατροφολόγος ολοκλήρωσε το έργο.	M	M	1	Der starke Ernährungsberater beendete die Arbeit.	M	M	1	El nutricionista fuerte terminó el trabajo.	M	M	1	De sterke voedingsdeskundige maakte het werk af.	N	N	1
