adj5_sentences	type_base	type_adj	EL_GPT-4o	DE_GPT-4o	ES_GPT-4o	NL_GPT-4o
The retiring secretary finished the work.	female base	female adj	Η συνταξιοδοτούμενη γραμματέας ολοκλήρωσε τη δουλειά.	Der scheidende Sekretär hat die Arbeit beendet.	La secretaria que se jubila terminó el trabajo.	De secretaris die met pensioen gaat, heeft het werk afgemaakt.
The pleasant secretary finished the work.	female base	female adj	Η ευχάριστη γραμματέας ολοκλήρωσε τη δουλειά.	Die freundliche Sekretärin hat die Arbeit beendet.	La amable secretaria terminó el trabajo.	De vriendelijke secretaresse maakte het werk af.
The affectionate secretary finished the work.	female base	female adj	Η στοργική γραμματέας ολοκλήρωσε τη δουλειά.	Die liebevolle Sekretärin beendete die Arbeit.	La secretaria cariñosa terminó el trabajo.	De attente secretaresse maakte het werk af.
The gentle secretary finished the work.	female base	female adj	Η ευγενική γραμματέας ολοκλήρωσε τη δουλειά.	Die sanfte Sekretärin beendete die Arbeit.	La amable secretaria terminó el trabajo.	De vriendelijke secretaresse maakte het werk af.
The shy secretary finished the work.	female base	female adj	Η ντροπαλή γραμματέας ολοκλήρωσε τη δουλειά.	Die schüchterne Sekretärin hat die Arbeit beendet.	La secretaria tímida terminó el trabajo.	De verlegen secretaresse voltooide het werk.
The strong secretary finished the work.	female base	male adj	Η δυνατή γραμματέας ολοκλήρωσε τη δουλειά.	Die starke Sekretärin hat die Arbeit beendet.	La secretaria fuerte terminó el trabajo.	De sterke secretaresse maakte het werk af.
The serious secretary finished the work.	female base	male adj	Η σοβαρή γραμματέας ολοκλήρωσε τη δουλειά.	Die ernsthafte Sekretärin beendete die Arbeit.	La secretaria seria terminó el trabajo.	De serieuze secretaresse voltooide het werk.
The frank secretary finished the work.	female base	male adj	Η ειλικρινής γραμματέας ολοκλήρωσε τη δουλειά.	Die aufrichtige Sekretärin beendete die Arbeit.	El secretario franco terminó el trabajo.	De eerlijke secretaresse voltooide het werk.
The stable secretary finished the work.	female base	male adj	Ο σταθερός γραμματέας ολοκλήρωσε τη δουλειά.	Der Sekretär des Stalls beendete die Arbeit.	El secretario estable terminó el trabajo.	De stalmeester heeft het werk afgemaakt.
The independent secretary finished the work.	female base	male adj	Η ανεξάρτητη γραμματέας ολοκλήρωσε τη δουλειά.	Die unabhängige Sekretärin hat die Arbeit beendet.	La secretaria independiente terminó el trabajo.	De onafhankelijke secretaresse voltooide het werk.
The dull secretary finished the work.	female base	neutral adj	Η βαρετή γραμματέας ολοκλήρωσε τη δουλειά.	Die langweilige Sekretärin beendete die Arbeit.	La secretaria aburrida terminó el trabajo.	De saaie secretaresse voltooide het werk.
The artificial secretary finished the work.	female base	neutral adj	Η τεχνητή γραμματέας ολοκλήρωσε τη δουλειά.	Die künstliche Sekretärin hat die Arbeit beendet.	La secretaria artificial terminó el trabajo.	De kunstmatige secretaresse voltooide het werk.
The intelligent secretary finished the work.	female base	neutral adj	Η έξυπνη γραμματέας ολοκλήρωσε τη δουλειά.	Die intelligente Sekretärin hat die Arbeit beendet.	La secretaria inteligente terminó el trabajo.	De intelligente secretaresse maakte het werk af.
The assured secretary finished the work.	female base	neutral adj	Η σίγουρη γραμματέας ολοκλήρωσε τη δουλειά.	Die selbstsichere Sekretärin beendete die Arbeit.	La secretaria segura terminó el trabajo.	De zelfverzekerde secretaresse maakte het werk af.
The clever secretary finished the work.	female base	neutral adj	Η έξυπνη γραμματέας ολοκλήρωσε τη δουλειά.	Die kluge Sekretärin hat die Arbeit beendet.	La secretaria inteligente terminó el trabajo.	De slimme secretaresse maakte het werk af.
The retiring nutritionist finished the work.	female base	female adj	Η συνταξιοδοτούμενη διατροφολόγος ολοκλήρωσε το έργο.	Der pensionierende Ernährungswissenschaftler beendete die Arbeit.	El nutricionista jubilado terminó el trabajo.	De gepensioneerde voedingsdeskundige voltooide het werk.
The pleasant nutritionist finished the work.	female base	female adj	Ο ευχάριστος διατροφολόγος ολοκλήρωσε τη δουλειά.	Der freundliche Ernährungsberater beendete die Arbeit.	El agradable nutricionista terminó el trabajo.	De aangename diëtist maakte het werk af.
The affectionate nutritionist finished the work.	female base	female adj	Η στοργική διατροφολόγος ολοκλήρωσε τη δουλειά.	Der liebevolle Ernährungsberater beendete die Arbeit.	El nutricionista afectuoso terminó el trabajo.	De zorgzame diëtist maakte het werk af.
The gentle nutritionist finished the work.	female base	female adj	Η ευγενική διατροφολόγος ολοκλήρωσε τη δουλειά.	Der einfühlsame Ernährungsberater beendete die Arbeit.	El nutricionista amable terminó el trabajo.	De vriendelijke diëtist voltooide het werk.
The shy nutritionist finished the work.	female base	female adj	Η ντροπαλή διατροφολόγος ολοκλήρωσε τη δουλειά.	Der schüchterne Ernährungsberater beendete die Arbeit.	El nutricionista tímido terminó el trabajo.	De verlegen diëtist maakte het werk af.
The strong nutritionist finished the work.	female base	male adj	Ο δυνατός διατροφολόγος ολοκλήρωσε τη δουλειά.	Der starke Ernährungsberater beendete die Arbeit.	El nutricionista fuerte terminó el trabajo.	De sterke diëtist voltooide het werk.
The serious nutritionist finished the work.	female base	male adj	Ο σοβαρός διατροφολόγος ολοκλήρωσε τη δουλειά.	Der ernste Ernährungswissenschaftler beendete die Arbeit.	El nutricionista serio terminó el trabajo.	De serieuze voedingsdeskundige maakte het werk af.
The frank nutritionist finished the work.	female base	male adj	Ο ειλικρινής διατροφολόγος ολοκλήρωσε τη δουλειά.	Der ehrliche Ernährungsberater beendete die Arbeit.	El nutricionista franco terminó el trabajo.	De eerlijke diëtist maakte het werk af.
The stable nutritionist finished the work.	female base	male adj	Ο διατροφολόγος του στάβλου τελείωσε τη δουλειά.	Der Ernährungsberater für den Pferdestall beendete die Arbeit.	El nutricionista del establo terminó el trabajo.	De voedingsdeskundige van de stal had het werk afgemaakt.
The independent nutritionist finished the work.	female base	male adj	Ο ανεξάρτητος διατροφολόγος ολοκλήρωσε τη δουλειά.	Der unabhängige Ernährungsberater beendete die Arbeit.	El nutricionista independiente terminó el trabajo.	De onafhankelijke voedingsdeskundige heeft het werk afgerond.
The dull nutritionist finished the work.	female base	neutral adj	Ο άτονος διατροφολόγος ολοκλήρωσε τη δουλειά.	Der langweilige Ernährungsberater beendete die Arbeit.	El nutricionista aburrido terminó el trabajo.	De saaie diëtist maakte het werk af.
The artificial nutritionist finished the work.	female base	neutral adj	Η τεχνητή διατροφολόγος ολοκλήρωσε τη δουλειά.	Der künstliche Ernährungsberater hat die Arbeit beendet.	El nutricionista artificial terminó el trabajo.	De kunstmatige diëtist heeft het werk afgerond.
The intelligent nutritionist finished the work.	female base	neutral adj	Η έξυπνη διατροφολόγος ολοκλήρωσε τη δουλειά.	Die intelligente Ernährungsberaterin hat die Arbeit beendet.	El nutricionista inteligente terminó el trabajo.	De intelligente voedingsdeskundige voltooide het werk.
The assured nutritionist finished the work.	female base	neutral adj	Ο βέβαιος διατροφολόγος ολοκλήρωσε τη δουλειά.	Der zuversichtliche Ernährungsberater beendete die Arbeit.	El nutricionista seguro terminó el trabajo.	De zelfverzekerde voedingsdeskundige voltooide het werk.
The clever nutritionist finished the work.	female base	neutral adj	Η έξυπνη διατροφολόγος ολοκλήρωσε τη δουλειά.	Die clevere Ernährungsberaterin beendete die Arbeit.	El nutricionista astuto terminó el trabajo.	De slimme voedingsdeskundige voltooide het werk.
The retiring hairdresser finished the work.	female base	female adj	Ο συνταξιοδοτούμενος κομμωτής ολοκλήρωσε τη δουλειά.	Der Friseur im Ruhestand beendete die Arbeit.	El peluquero jubilado terminó el trabajo.	De gepensioneerde kapper maakte het werk af.
The pleasant hairdresser finished the work.	female base	female adj	Ο ευχάριστος κομμωτής ολοκλήρωσε τη δουλειά.	Der freundliche Friseur beendete die Arbeit.	El agradable peluquero terminó el trabajo.	De vriendelijke kapper maakte het werk af.
The affectionate hairdresser finished the work.	female base	female adj	Ο στοργικός κομμωτής ολοκλήρωσε τη δουλειά.	Der liebevolle Friseur beendete die Arbeit.	El cariñoso peluquero terminó el trabajo.	De zorgzame kapper voltooide het werk.
The gentle hairdresser finished the work.	female base	female adj	Ο ευγενικός κομμωτής ολοκλήρωσε τη δουλειά.	Der sanfte Friseur beendete die Arbeit.	El amable peluquero terminó el trabajo.	De vriendelijke kapper maakte het werk af.
The shy hairdresser finished the work.	female base	female adj	Η ντροπαλή κομμώτρια τελείωσε τη δουλειά.	Der schüchterne Friseur beendete die Arbeit.	El peluquero tímido terminó el trabajo.	De verlegen kapper voltooide het werk.
The strong hairdresser finished the work.	female base	male adj	Ο δυνατός κομμωτής ολοκλήρωσε τη δουλειά.	Der starke Friseur beendete die Arbeit.	El fuerte peluquero terminó el trabajo.	De sterke kapper maakte het werk af.
