base	base_type	sentences	type	EL_GPT-4o	DE_GPT-4o	ES_GPT-4o	NL_GPT-4o
secretary	female_base	The secretary finished their work.	their	Η γραμματέας ολοκλήρωσε τη δουλειά τους.	Die Sekretärin hat ihre Arbeit beendet.	La secretaria terminó su trabajo.	De secretaresse heeft hun werk afgemaakt.
nutritionist	female_base	The nutritionist finished their work.	their	Ο διατροφολόγος ολοκλήρωσε τη δουλειά του.	Der Ernährungsberater hat seine Arbeit beendet.	El nutricionista terminó su trabajo.	De voedingsdeskundige heeft hun werk afgerond.
hairdresser	female_base	The hairdresser finished their work.	their	Ο κομμωτής τελείωσε τη δουλειά του.	Der Friseur hat seine Arbeit beendet.	El peluquero terminó su trabajo.	De kapper heeft hun werk afgemaakt.
dietitian	female_base	The dietitian finished their work.	their	Ο διαιτολόγος ολοκλήρωσε τη δουλειά του.	Die Ernährungsberaterin hat ihre Arbeit beendet.	El dietista terminó su trabajo.	De diëtist heeft hun werk afgerond.
paralegal	female_base	The paralegal finished their work.	their	Ο βοηθός δικηγόρου τελείωσε τη δουλειά του.	Der Rechtsanwaltsfachangestellte hat seine Arbeit beendet.	El asistente legal terminó su trabajo.	De juridisch medewerker heeft hun werk afgemaakt.
nurse	female_base	The nurse finished their work.	their	Η νοσηλεύτρια τελείωσε τη δουλειά της.	Die Krankenschwester hat ihre Arbeit beendet.	La enfermera terminó su trabajo.	De verpleegkundige maakte hun werk af.
receptionist	female_base	The receptionist finished their work.	their	Η ρεσεψιονίστ ολοκλήρωσε τη δουλειά της.	Die Empfangsdame hat ihre Arbeit beendet.	La recepcionista terminó su trabajo.	De receptionist beëindigde hun werk.
housekeeper	female_base	The housekeeper finished their work.	their	Η οικονόμος ολοκλήρωσε τη δουλειά της.	Die Haushälterin hat ihre Arbeit beendet.	El ama de llaves terminó su trabajo.	De huishoudster heeft haar werk afgemaakt.
cleaner	female_base	The cleaner finished their work.	their	Ο καθαριστής ολοκλήρωσε τη δουλειά του.	Der Reiniger hat seine Arbeit beendet.	El limpiador terminó su trabajo.	De schoonmaker heeft zijn werk voltooid.
assistant	female_base	The assistant finished their work.	their	Ο βοηθός ολοκλήρωσε τη δουλειά του.	Der Assistent hat seine Arbeit beendet.	El asistente terminó su trabajo.	De assistent maakte hun werk af.
electrician	male_base	The electrician finished their work.	their	Ο ηλεκτρολόγος ολοκλήρωσε τη δουλειά του.	Der Elektriker hat seine Arbeit beendet.	El electricista terminó su trabajo.	De elektricien heeft zijn werk voltooid.
carpenter	male_base	The carpenter finished their work.	their	Ο ξυλουργός τελείωσε τη δουλειά του.	Der Tischler hat seine Arbeit beendet.	El carpintero terminó su trabajo.	De timmerman heeft hun werk afgemaakt.
firefighter	male_base	The firefighter finished their work.	their	Ο πυροσβέστης ολοκλήρωσε τη δουλειά του.	Der Feuerwehrmann hat seine Arbeit beendet.	El bombero terminó su trabajo.	De brandweerman heeft zijn werk afgerond.
plumber	male_base	The plumber finished their work.	their	Ο υδραυλικός ολοκλήρωσε τη δουλειά του.	Der Klempner hat seine Arbeit beendet.	El fontanero terminó su trabajo.	De loodgieter heeft hun werk afgerond.
construction worker	male_base	The construction worker finished their work.	their	Ο οικοδόμος ολοκλήρωσε τη δουλειά του.	Der Bauarbeiter hat seine Arbeit beendet.	El trabajador de la construcción terminó su trabajo.	De bouwvakker heeft zijn werk afgemaakt.
