base	base_type	sentences	type	EL_DeepL	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_DeepL	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_DeepL	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_DeepL	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
secretary	female_base	The secretary finished the work.	base	Η γραμματέας τελείωσε τη δουλειά.	F	F	1	Die Sekretärin beendete die Arbeit.	F	F	1	La secretaria terminó el trabajo.	F	F	1	De secretaresse maakte het werk af.	F	F	1
nutritionist	female_base	The nutritionist finished the work.	base	Ο διατροφολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der Ernährungsberater hat die Arbeit beendet.	M	M	1	El nutricionista terminó el trabajo.	M	M	1	De voedingsdeskundige maakte het werk af.	N	N	1
hairdresser	female_base	The hairdresser finished the work.	base	Ο κομμωτής τελείωσε τη δουλειά.	M	M	1	Der Friseur hat die Arbeit beendet.	M	M	1	El peluquero terminó el trabajo.	M	M	1	De kapper maakte het werk af.	N	M	0
dietitian	female_base	The dietitian finished the work.	base	Ο διαιτολόγος ολοκλήρωσε την εργασία.	M	M	1	Die Diätassistentin beendete die Arbeit.	F	F	1	La dietista terminó el trabajo.	F	F	1	De diëtiste maakte het werk af.	F	F	1
paralegal	female_base	The paralegal finished the work.	base	Η νομική βοηθός ολοκλήρωσε τη δουλειά.	F	F	1	Die Anwaltsgehilfin beendete die Arbeit.	F	F	1	El asistente jurídico terminó el trabajo.	M	M	1	De paralegal maakte het werk af.	error [incorrect]	N	0
nurse	female_base	The nurse finished the work.	base	Η νοσοκόμα τελείωσε τη δουλειά.	N	F	0	Die Krankenschwester beendete die Arbeit.	F	F	1	La enfermera terminó el trabajo.	F	F	1	De verpleegster maakte het werk af.	F	F	1
receptionist	female_base	The receptionist finished the work.	base	Η ρεσεψιονίστ τελείωσε τη δουλειά.	F	F	1	Die Empfangsdame beendete ihre Arbeit.	F	F	1	La recepcionista terminó el trabajo.	F	F	1	De receptioniste maakte het werk af.	F	F	1
housekeeper	female_base	The housekeeper finished the work.	base	Η οικονόμος τελείωσε τη δουλειά.	F	F	1	Die Haushälterin beendete die Arbeit.	F	F	1	El ama de llaves terminó el trabajo.	F	F	1	De huishoudster maakte het werk af.	F	F	1
cleaner	female_base	The cleaner finished the work.	base	Η καθαρίστρια τελείωσε τη δουλειά.	F	F	1	Die Reinigungskraft hat die Arbeit beendet.	N	N	1	El limpiador terminó el trabajo.	M	M	1	De schoonmaker maakte het werk af.	N	M	0
assistant	female_base	The assistant finished the work.	base	Ο βοηθός τελείωσε τη δουλειά.	M	M	1	Der Assistent beendete die Arbeit.	M	M	1	El asistente terminó el trabajo.	M	M	1	De assistent maakte het werk af.	N	N	1
