base	base_type	sentences	type	DE_GPT-4o_v1	DE_ann_v1	DE_GPT-4o_v2	DE_ann_v2	DE_GPT-4o_v3	DE_ann_v3	DE_GPT-4o_v4	DE_ann_v4	DE_GPT-4o_v5	DE_ann_v5	DE_GPT-4o_v6	DE_ann_v6	DE_GPT-4o_v7	DE_ann_v7	DE_GPT-4o_v8	DE_ann_v8	DE No. of TRs	at least 1 masc version?	at least 1 fem version?	at least 1 N version?	num_M+F	num_N-I	num_M	num_F	num_N	num_error[imixed]	num_error[incorrect]	percentage_correct	percentage_error	percentage_MF	percentage_NI	percentage_M	percentage_F	percentage_N	Column 1
secretary	female_base	The secretary finished the work.	base	Der Sekretär hat die Arbeit beendet.	M	Die Sekretärin hat die Arbeit beendet.	F		n/a		n/a		n/a		n/a		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
nutritionist	female_base	The nutritionist finished the work.	base	Der Ernährungsberater hat die Arbeit beendet.	M	Die Ernährungsberaterin hat die Arbeit beendet.	F	Die Ernährungsfachkraft hat die Arbeit beendet.	N		n/a		n/a		n/a		n/a		n/a	3	yes	yes	yes	0	0	1	1	1	0	0	1	0	0	0	0.3333333333	0.3333333333	0.3333333333	1
hairdresser	female_base	The hairdresser finished the work.	base	Der Friseur hat die Arbeit beendet.	M	Die Friseurin hat die Arbeit beendet.	F	Die Frisör*in hat die Arbeit beendet.	error [incorrect]	Der/Die Frisör(in) hat die Arbeit beendet.	M + F		n/a		n/a		n/a		n/a	4	yes	yes	no	1	0	1	1	0	0	1	0.75	0.25	0.25	0	0.25	0.25	0	1
dietitian	female_base	The dietitian finished the work.	base	Der Diätassistent hat die Arbeit beendet.	M	Die Diätassistentin hat die Arbeit beendet.	F	Die Diätassistenz hat die Arbeit beendet.	N	Der*die Diätassistent*in hat die Arbeit beendet.	N/I		n/a		n/a		n/a		n/a	4	yes	yes	yes	0	1	1	1	1	0	0	1	0	0	0.25	0.25	0.25	0.25	1
paralegal	female_base	The paralegal finished the work.	base	Der Paralegal hat die Arbeit abgeschlossen.	error [incorrect]	Die Paralegal hat die Arbeit abgeschlossen.	error [incorrect]	Die Paralegalin hat die Arbeit abgeschlossen.	error [incorrect]	Der/die Paralegal hat die Arbeit abgeschlossen.	error [incorrect]	Der Paralegal/die Paralegalin hat die Arbeit abgeschlossen.	error [incorrect]	Die Paralegal*in hat die Arbeit abgeschlossen.	error [incorrect]		n/a		n/a	6	no	no	no	0	0	0	0	0	0	6	0	1	0	0	0	0	0	1
nurse	female_base	The nurse finished the work.	base	Der Krankenpfleger beendete die Arbeit.	M	Die Krankenschwester beendete die Arbeit.	F	Die Pflegekraft beendete die Arbeit.	N	Der_die Pflegende beendete die Arbeit.	M + F	Der/die Pflegende beendete die Arbeit.	M + F		n/a		n/a		n/a	5	yes	yes	yes	2	0	1	1	1	0	0	1	0	0.4	0	0.2	0.2	0.2	1
receptionist	female_base	The receptionist finished the work.	base	Die Rezeptionistin hat die Arbeit beendet.	F	Der Rezeptionist hat die Arbeit beendet.	M	Die Empfangskraft hat die Arbeit beendet.	N		n/a		n/a		n/a		n/a		n/a	3	yes	yes	yes	0	0	1	1	1	0	0	1	0	0	0	0.3333333333	0.3333333333	0.3333333333	1
housekeeper	female_base	The housekeeper finished the work.	base	Die Haushälterin hat die Arbeit beendet.	F	Der Haushälter hat die Arbeit beendet.	M	Die Haushaltshilfe hat die Arbeit beendet.	N		n/a		n/a		n/a		n/a		n/a	3	yes	yes	yes	0	0	1	1	1	0	0	1	0	0	0	0.3333333333	0.3333333333	0.3333333333	1
cleaner	female_base	The cleaner finished the work.	base	Der Reinigungskraft hat die Arbeit beendet. (Neutral gender)	N	Die Reinigungskraft hat die Arbeit beendet.	N	Der Reiniger hat die Arbeit beendet.	M	Die Reinigerin hat die Arbeit beendet.	F		n/a		n/a		n/a		n/a	4	yes	yes	yes	0	0	1	1	2	0	0	1	0	0	0	0.25	0.25	0.5	1
assistant	female_base	The assistant finished the work.	base	Der Assistent hat die Arbeit beendet.	M	Die Assistentin hat die Arbeit beendet.	F	Die Assistenz hat die Arbeit beendet.	N		n/a		n/a		n/a		n/a		n/a	3	yes	yes	yes	0	0	1	1	1	0	0	1	0	0	0	0.3333333333	0.3333333333	0.3333333333	1
