adj5_sentences	type_base	type_adj	EL_EuroLLM	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_EuroLLM	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_EuroLLM	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_EuroLLM	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
The retiring secretary finished the work.	female base	female adj	Ο υπάλληλος, ο οποίος θα σταματήσει την εργασία του, ολοκλήρω	error [incorrect]	M	0	Die scheidende Sekretärin hat den Job beendet.	F	F	1	El secretario jubilado terminó el trabajo.	M	M	1	De aftredende secretaris heeft het werk afgerond.	N	M	0
The pleasant secretary finished the work.	female base	female adj	Η ευγενική γραμματέας τελείωσε τη δουλειά.	F	F	1	Die angenehme Sekretärin beendete die Arbeiten.	F	F	1	El agradable secretario terminó el trabajo.	M	M	1	De aardige secretaresse had het werk af.	F	F	1
The affectionate secretary finished the work.	female base	female adj	Η στοργική γραμματέας τελείωσε τη δουλειά.	F	F	1	Die liebevolle Sekretärin beendete die Arbeit.	F	F	1	La afectuosa secretaria terminó el trabajo.	F	F	1	De hartelijke secretaris heeft het werk afgemaakt.	N	M	0
The gentle secretary finished the work.	female base	female adj	Η ευγενική γραμματέας τελείωσε τη δουλειά.	F	F	1	Die sanfte Sekretärin beendete die Arbeit.	F	F	1	La amable secretaria terminó el trabajo.	F	F	1	De vriendelijke secretaresse had het werk af.	F	F	1
The shy secretary finished the work.	female base	female adj	Η ντροπαλή γραμματέας τελείωσε τη δουλειά.	F	F	1	Die schüchterne Sekretärin beendete die Arbeit.	F	F	1	El tímido secretario terminó el trabajo.	M	M	1	De verlegen secretaris heeft haar werk gedaan.	error [incorrect]	M	0
The strong secretary finished the work.	female base	male adj	Η δυνατή γραμματέας τελείωσε τη δουλειά.	F	M	0	Den starken Sekretär hat das Werk fertiggestellt.	error [incorrect]	M	0	El fuerte(signatario) terminó el trabajo.	error [incorrect]	M	0	De sterke secretaresse voltooide het werk.	F	F	1
The serious secretary finished the work.	female base	male adj	Ο σοβαρός γραμματέας τελείωσε τη δουλειά.	M	F	0	Die ernsthafte Sekretärin beendete die Arbeit.	F	F	1	La seria secretaría terminó el trabajo.	error [incorrect]	error	0	De serieuze secretaris heeft het werk afgemaakt.	N	M	0
The frank secretary finished the work.	female base	male adj	Η ειλικρινής γραμματέας ολοκλήρωσε τη δουλειά.	F	M	0	Die direkte Sekretärin beendete die Arbeit.	F	F	1	La franca secretaria terminó el trabajo.	F	F	1	De gedreven secretaresse heeft het werk afgerond.	F	F	1
The stable secretary finished the work.	female base	male adj	Ο γραμματέας του αγροκτήματος τελείωσε τη δουλειά.	error [incorrect]	F	0	Der stabile Sekretär hat die Arbeit beendet.	M	M	1	La secretaria constante terminó el trabajo.	F	F	1	De stabiele secretaris heeft het werk afgerond.	N	M	0
The independent secretary finished the work.	female base	male adj	Η ανεξάρτητη γραμματέας τελείωσε τη δουλειά.	F	F	1	Der unabhängige Sekretär hat die Arbeit beendet.	M	M	1	El secretario independiente terminó el trabajo.	M	M	1	De onafhankelijke secretaris heeft het werk afgerond.	N	M	0
