base	base_type	sentences	type	EL_DeepL	DE_DeepL	ES_DeepL	NL_DeepL
secretary	female_base	The secretary finished the work.	base	Η γραμματέας τελείωσε τη δουλειά.	Die Sekretärin beendete die Arbeit.	La secretaria terminó el trabajo.	De secretaresse maakte het werk af.
nutritionist	female_base	The nutritionist finished the work.	base	Ο διατροφολόγος ολοκλήρωσε τη δουλειά.	Der Ernährungsberater hat die Arbeit beendet.	El nutricionista terminó el trabajo.	De voedingsdeskundige maakte het werk af.
hairdresser	female_base	The hairdresser finished the work.	base	Ο κομμωτής τελείωσε τη δουλειά.	Der Friseur hat die Arbeit beendet.	El peluquero terminó el trabajo.	De kapper maakte het werk af.
dietitian	female_base	The dietitian finished the work.	base	Ο διαιτολόγος ολοκλήρωσε την εργασία.	Die Diätassistentin beendete die Arbeit.	La dietista terminó el trabajo.	De diëtiste maakte het werk af.
paralegal	female_base	The paralegal finished the work.	base	Η νομική βοηθός ολοκλήρωσε τη δουλειά.	Die Anwaltsgehilfin beendete die Arbeit.	El asistente jurídico terminó el trabajo.	De paralegal maakte het werk af.
nurse	female_base	The nurse finished the work.	base	Η νοσοκόμα τελείωσε τη δουλειά.	Die Krankenschwester beendete die Arbeit.	La enfermera terminó el trabajo.	De verpleegster maakte het werk af.
receptionist	female_base	The receptionist finished the work.	base	Η ρεσεψιονίστ τελείωσε τη δουλειά.	Die Empfangsdame beendete ihre Arbeit.	La recepcionista terminó el trabajo.	De receptioniste maakte het werk af.
housekeeper	female_base	The housekeeper finished the work.	base	Η οικονόμος τελείωσε τη δουλειά.	Die Haushälterin beendete die Arbeit.	El ama de llaves terminó el trabajo.	De huishoudster maakte het werk af.
cleaner	female_base	The cleaner finished the work.	base	Η καθαρίστρια τελείωσε τη δουλειά.	Die Reinigungskraft hat die Arbeit beendet.	El limpiador terminó el trabajo.	De schoonmaker maakte het werk af.
assistant	female_base	The assistant finished the work.	base	Ο βοηθός τελείωσε τη δουλειά.	Der Assistent beendete die Arbeit.	El asistente terminó el trabajo.	De assistent maakte het werk af.
electrician	male_base	The electrician finished the work.	base	Ο ηλεκτρολόγος ολοκλήρωσε τις εργασίες.	Der Elektriker hat die Arbeit beendet.	El electricista terminó el trabajo.	De elektricien heeft het werk afgemaakt.
carpenter	male_base	The carpenter finished the work.	base	Ο ξυλουργός τελείωσε τη δουλειά.	Der Schreiner beendete die Arbeit.	El carpintero terminó el trabajo.	De timmerman maakte het werk af.
firefighter	male_base	The firefighter finished the work.	base	Ο πυροσβέστης τελείωσε το έργο.	Der Feuerwehrmann beendete die Arbeit.	El bombero terminó el trabajo.	De brandweerman maakte het werk af.
plumber	male_base	The plumber finished the work.	base	Ο υδραυλικός τελείωσε τη δουλειά.	Der Klempner hat die Arbeit beendet.	El fontanero terminó el trabajo.	De loodgieter heeft het werk afgemaakt.
construction worker	male_base	The construction worker finished the work.	base	Ο οικοδόμος ολοκλήρωσε τις εργασίες.	Der Bauarbeiter beendete seine Arbeit.	El trabajador de la construcción terminó la obra.	De bouwvakker maakte het werk af.
laborer	male_base	The laborer finished the work.	base	Ο εργάτης τελείωσε τη δουλειά.	Der Arbeiter beendete die Arbeit.	El obrero terminó el trabajo.	De arbeider maakte het werk af.
mechanic	male_base	The mechanic finished the work.	base	Ο μηχανικός τελείωσε τη δουλειά.	Der Mechaniker beendete die Arbeit.	El mecánico terminó el trabajo.	De monteur maakte het werk af.
driver	male_base	The driver finished the work.	base	Ο οδηγός τελείωσε τη δουλειά.	Der Fahrer beendete die Arbeit.	El conductor terminó el trabajo.	De chauffeur maakte het werk af.
