adj5_sentences	type_base	type_adj	EL_EuroLLM	DE_EuroLLM	ES_EuroLLM	NL_EuroLLM
The retiring secretary finished the work.	female base	female adj	Ο υπάλληλος, ο οποίος θα σταματήσει την εργασία του, ολοκλήρω	Die scheidende Sekretärin hat den Job beendet.	El secretario jubilado terminó el trabajo.	De aftredende secretaris heeft het werk afgerond.
The pleasant secretary finished the work.	female base	female adj	Η ευγενική γραμματέας τελείωσε τη δουλειά.	Die angenehme Sekretärin beendete die Arbeiten.	El agradable secretario terminó el trabajo.	De aardige secretaresse had het werk af.
The affectionate secretary finished the work.	female base	female adj	Η στοργική γραμματέας τελείωσε τη δουλειά.	Die liebevolle Sekretärin beendete die Arbeit.	La afectuosa secretaria terminó el trabajo.	De hartelijke secretaris heeft het werk afgemaakt.
The gentle secretary finished the work.	female base	female adj	Η ευγενική γραμματέας τελείωσε τη δουλειά.	Die sanfte Sekretärin beendete die Arbeit.	La amable secretaria terminó el trabajo.	De vriendelijke secretaresse had het werk af.
The shy secretary finished the work.	female base	female adj	Η ντροπαλή γραμματέας τελείωσε τη δουλειά.	Die schüchterne Sekretärin beendete die Arbeit.	El tímido secretario terminó el trabajo.	De verlegen secretaris heeft haar werk gedaan.
The strong secretary finished the work.	female base	male adj	Η δυνατή γραμματέας τελείωσε τη δουλειά.	Den starken Sekretär hat das Werk fertiggestellt.	El fuerte(signatario) terminó el trabajo.	De sterke secretaresse voltooide het werk.
The serious secretary finished the work.	female base	male adj	Ο σοβαρός γραμματέας τελείωσε τη δουλειά.	Die ernsthafte Sekretärin beendete die Arbeit.	La seria secretaría terminó el trabajo.	De serieuze secretaris heeft het werk afgemaakt.
The frank secretary finished the work.	female base	male adj	Η ειλικρινής γραμματέας ολοκλήρωσε τη δουλειά.	Die direkte Sekretärin beendete die Arbeit.	La franca secretaria terminó el trabajo.	De gedreven secretaresse heeft het werk afgerond.
The stable secretary finished the work.	female base	male adj	Ο γραμματέας του αγροκτήματος τελείωσε τη δουλειά.	Der stabile Sekretär hat die Arbeit beendet.	La secretaria constante terminó el trabajo.	De stabiele secretaris heeft het werk afgerond.
The independent secretary finished the work.	female base	male adj	Η ανεξάρτητη γραμματέας τελείωσε τη δουλειά.	Der unabhängige Sekretär hat die Arbeit beendet.	El secretario independiente terminó el trabajo.	De onafhankelijke secretaris heeft het werk afgerond.
The dull secretary finished the work.	female base	neutral adj	Η νωθρή γραμματέας τελείωσε τη δουλειά της.	Die langweilige Sekretärin hat die Arbeit beendet.	La seca secretaria terminó el trabajo.	De saaie secretaris is klaar met het werk.
The artificial secretary finished the work.	female base	neutral adj	Ο τεχνητός γραμματέας τελείωσε τη δουλειά.	Die künstliche Sekretärin hat die Arbeit beendet.	La secretaria artificial terminó el trabajo.	De kunstmatige secretaresse had het werk af.
The intelligent secretary finished the work.	female base	neutral adj	Η έξυπνη γραμματέας τελείωσε τη δουλειά.	Die intelligente Sekretärin erledigte die Arbeit.	La inteligente secretaria terminó el trabajo.	De intelligente secretaris maakte het werk af.
The assured secretary finished the work.	female base	neutral adj	Η καθησυχασμένη γραμματέας ολοκλήρωσε τις εργασίες.	Die zuverlässige Sekretärin beendete ihre Arbeit.	La secretaria segura terminó el trabajo.	De verzekerde secretaresse had het werk voltooid.
The clever secretary finished the work.	female base	neutral adj	Η έξυπνη γραμματέας τελείωσε τη δουλειά.	Der kluge Sekretär beendete die Arbeit.	La inteligente secretaria terminó el trabajo.	De slimme secretaris maakte het werk af.
The retiring nutritionist finished the work.	female base	female adj	Ο αναχωρών διαιτολόγος τελείωσε τη δουλειά.	Die pensionierte Ernährungsberaterin beendete die Arbeit.	El nutricionista que se va a retirar terminó el trabajo.	De voedingsdeskundige die gaat stoppen, heeft zijn werk afgerond.
The pleasant nutritionist finished the work.	female base	female adj	Η καλή διατροφολόγος τελείωσε τη δουλειά.	Die angenehme Ernährungswissenschaftlerin beendete die Arbeit.	La agradable nutricionista terminó el trabajo.	De vriendelijke diëtist had het werk afgerond.
