base	base_type	sentences	type	EL_DeepL	DE_DeepL	ES_DeepL	NL_DeepL
secretary	female_base	The secretary finished their work.	their	Ο γραμματέας τελείωσε τη δουλειά του.	Die Sekretärin beendete ihre Arbeit.	La secretaria terminó su trabajo.	De secretaresse maakte hun werk af.
nutritionist	female_base	The nutritionist finished their work.	their	Ο διατροφολόγος τελείωσε τη δουλειά του.	Die Ernährungsberaterin hat ihre Arbeit beendet.	El nutricionista terminó su trabajo.	De voedingsdeskundige maakte hun werk af.
hairdresser	female_base	The hairdresser finished their work.	their	Ο κομμωτής τελείωσε τη δουλειά του.	Der Friseur hat seine Arbeit beendet.	El peluquero terminó su trabajo.	De kapper is klaar met zijn werk.
dietitian	female_base	The dietitian finished their work.	their	Ο διαιτολόγος τελείωσε τη δουλειά του.	Die Diätassistentin hat ihre Arbeit beendet.	El dietista terminó su trabajo.	De diëtiste maakte hun werk af.
paralegal	female_base	The paralegal finished their work.	their	Η νομική βοηθός τελείωσε τη δουλειά της.	Die Anwaltsgehilfin beendete ihre Arbeit.	El asistente jurídico terminó su trabajo.	De paralegal maakte hun werk af.
nurse	female_base	The nurse finished their work.	their	Η νοσοκόμα τελείωσε τη δουλειά της.	Die Krankenschwester beendete ihre Arbeit.	La enfermera terminó su trabajo.	De verpleegsters maakten hun werk af.
receptionist	female_base	The receptionist finished their work.	their	Η ρεσεψιονίστ τελείωσε τη δουλειά της.	Die Empfangsdame beendete ihre Arbeit.	La recepcionista terminó su trabajo.	De receptioniste maakte hun werk af.
housekeeper	female_base	The housekeeper finished their work.	their	Η οικονόμος τελείωσε τη δουλειά της.	Die Haushälterin beendete ihre Arbeit.	El ama de llaves terminó su trabajo.	De huishoudster maakte hun werk af.
cleaner	female_base	The cleaner finished their work.	their	Η καθαρίστρια τελείωσε τη δουλειά της.	Die Reinigungskraft hat ihre Arbeit beendet.	La limpiadora terminó su trabajo.	De schoonmakers waren klaar met hun werk.
assistant	female_base	The assistant finished their work.	their	Ο βοηθός τελείωσε τη δουλειά του.	Die Assistentin beendete ihre Arbeit.	El asistente terminó su trabajo.	De assistent maakte hun werk af.
electrician	male_base	The electrician finished their work.	their	Ο ηλεκτρολόγος τελείωσε τη δουλειά του.	Der Elektriker hat seine Arbeit beendet.	El electricista terminó su trabajo.	De elektricien is klaar met zijn werk.
carpenter	male_base	The carpenter finished their work.	their	Ο ξυλουργός τελείωσε τη δουλειά του.	Die Zimmerleute beendeten ihre Arbeit.	El carpintero terminó su trabajo.	De timmerman maakte zijn werk af.
firefighter	male_base	The firefighter finished their work.	their	Ο πυροσβέστης τελείωσε τη δουλειά του.	Die Feuerwehrleute haben ihre Arbeit beendet.	Los bomberos terminaron su trabajo.	De brandweerman maakte zijn werk af.
plumber	male_base	The plumber finished their work.	their	Ο υδραυλικός τελείωσε τη δουλειά του.	Der Klempner hat seine Arbeit beendet.	El fontanero terminó su trabajo.	De loodgieter is klaar met zijn werk.
construction worker	male_base	The construction worker finished their work.	their	Οι οικοδόμοι τελείωσαν τη δουλειά τους.	Die Bauarbeiter beendeten ihre Arbeit.	Los obreros de la construcción terminan su trabajo.	De bouwvakker is klaar met zijn werk.
